Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,8,0.000000,0.000200,0.000200,0.030000,,,0.030000,HARD,,
2,t02,Periodic,7,0.000000,0.004200,0.007200,0.030000,,,0.030000,HARD,,
3,t03,Periodic,10,0.000000,0.000900,0.000900,0.010000,,,0.010000,HARD,,
4,t04,Periodic,9,0.000000,0.001800,0.001800,0.020000,,,0.020000,HARD,,
5,t05,Aperiodic,4,0.000000,0.010300,0.010300,0.060000,0.060000,0.120000,0.060000,HARD,,
6,t06,Aperiodic,1,0.000000,0.003100,0.003100,0.600000,0.600000,1.000000,0.600000,HARD,,
7,t07,Aperiodic,2,0.000000,0.006000,0.010000,0.110000,0.110000,0.190000,0.110000,HARD,,
8,t08,Aperiodic,3,0.000000,0.000400,0.000400,0.060000,0.060000,0.120000,0.060000,HARD,,
9,t09,Aperiodic,6,0.000000,0.010600,0.010600,0.030000,0.030000,0.050000,0.030000,HARD,,
10,t10,Periodic,5,0.000000,0.002600,0.002600,0.030000,,,0.030000,HARD,,

