Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,6,0.000000,0.003000,0.003000,0.260000,0.260000,0.440000,0.260000,HARD,,
2,t02,Periodic,12,0.000000,0.000900,0.000900,0.080000,,,0.080000,HARD,,
3,t03,Periodic,18,0.000000,0.000300,0.000300,0.020000,,,0.020000,HARD,,
4,t04,Periodic,10,0.000000,0.015400,0.015400,0.200000,,,0.200000,HARD,,
5,t05,Aperiodic,5,0.000000,0.013700,0.013700,0.270000,0.270000,0.470000,0.270000,HARD,,
6,t06,Periodic,17,0.000000,0.000200,0.000200,0.020000,,,0.020000,HARD,,
7,t07,Periodic,11,0.000000,0.005800,0.005800,0.080000,,,0.080000,HARD,,
8,t08,Periodic,3,0.000000,0.010400,0.010400,0.400000,,,0.400000,HARD,,
9,t09,Aperiodic,7,0.000000,0.014500,0.014500,0.220000,0.220000,0.380000,0.220000,HARD,,
10,t10,Periodic,25,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,4,0.000000,0.003000,0.003000,0.300000,0.300000,0.500000,0.300000,HARD,,
12,t12,Periodic,24,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
13,t13,Periodic,2,0.000000,0.095100,0.095100,0.550000,,,0.550000,HARD,,
14,t14,Aperiodic,9,0.000000,0.011800,0.011800,0.210000,0.210000,0.350000,0.210000,HARD,,
15,t15,Aperiodic,13,0.000000,0.001700,0.001700,0.060000,0.060000,0.120000,0.060000,HARD,,
16,t16,Aperiodic,16,0.000000,0.000900,0.000900,0.030000,0.030000,0.070000,0.030000,HARD,,
17,t17,Periodic,15,0.000000,0.001700,0.001700,0.040000,,,0.040000,HARD,,
18,t18,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
19,t19,Periodic,22,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
20,t20,Aperiodic,1,0.000000,0.010100,0.010100,0.570000,0.570000,0.950000,0.570000,HARD,,
21,t21,Periodic,14,0.000000,0.001500,0.002500,0.050000,,,0.050000,HARD,,
22,t22,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
23,t23,Periodic,20,0.000000,0.000400,0.000800,0.010000,,,0.010000,HARD,,
24,t24,Aperiodic,8,0.000000,0.013600,0.013600,0.210000,0.210000,0.370000,0.210000,HARD,,
25,t25,Aperiodic,19,0.000000,0.000500,0.000500,0.010000,0.010000,0.030000,0.010000,HARD,,

