Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,25,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
2,t02,Periodic,24,0.000000,0.000600,0.000600,0.010000,,,0.010000,HARD,,
3,t03,Periodic,15,0.000000,0.003900,0.003900,0.050000,,,0.050000,HARD,,
4,t04,Aperiodic,5,0.000000,0.029600,0.029600,0.340000,0.340000,0.580000,0.340000,HARD,,
5,t05,Aperiodic,14,0.000000,0.003400,0.003400,0.070000,0.070000,0.130000,0.070000,HARD,,
6,t06,Aperiodic,17,0.000000,0.000100,0.000100,0.040000,0.040000,0.080000,0.040000,HARD,,
7,t07,Periodic,18,0.000000,0.000200,0.000200,0.030000,,,0.030000,HARD,,
8,t08,Aperiodic,3,0.000000,0.021600,0.021600,0.480000,0.480000,0.800000,0.480000,HARD,,
9,t09,Aperiodic,9,0.000000,0.012400,0.020800,0.180000,0.180000,0.300000,0.180000,HARD,,
10,t10,Periodic,8,0.000000,0.003800,0.003800,0.180000,,,0.180000,HARD,,
11,t11,Aperiodic,13,0.000000,0.003500,0.003500,0.080000,0.080000,0.140000,0.080000,HARD,,
12,t12,Periodic,16,0.000000,0.001200,0.001200,0.040000,,,0.040000,HARD,,
13,t13,Aperiodic,6,0.000000,0.005600,0.005600,0.210000,0.210000,0.370000,0.210000,HARD,,
14,t14,Periodic,23,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
15,t15,Periodic,20,0.000000,0.000200,0.000200,0.020000,,,0.020000,HARD,,
16,t16,Periodic,22,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
17,t17,Periodic,12,0.000000,0.007100,0.007100,0.100000,,,0.100000,HARD,,
18,t18,Aperiodic,10,0.000000,0.011800,0.011800,0.130000,0.130000,0.230000,0.130000,HARD,,
19,t19,Aperiodic,1,0.000000,0.030300,0.050500,0.560000,0.560000,0.940000,0.560000,HARD,,
20,t20,Aperiodic,11,0.000000,0.002700,0.002700,0.110000,0.110000,0.190000,0.110000,HARD,,
21,t21,Periodic,19,0.000000,0.000200,0.000400,0.020000,,,0.020000,HARD,,
22,t22,Aperiodic,7,0.000000,0.001900,0.001900,0.180000,0.180000,0.300000,0.180000,HARD,,
23,t23,Aperiodic,2,0.000000,0.025000,0.025000,0.530000,0.530000,0.890000,0.530000,HARD,,
24,t24,Periodic,21,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
25,t25,Aperiodic,4,0.000000,0.002400,0.004200,0.380000,0.380000,0.640000,0.380000,HARD,,

