Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,25,0.000000,0.007700,0.007700,0.010000,,,0.010000,HARD,,
2,t02,Periodic,24,0.000000,0.008600,0.008600,0.010000,,,0.010000,HARD,,
3,t03,Aperiodic,6,0.000000,0.115300,0.115300,0.270000,0.270000,0.470000,0.270000,HARD,,
4,t04,Periodic,15,0.000000,0.000100,0.000100,0.050000,,,0.050000,HARD,,
5,t05,Periodic,23,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
6,t06,Aperiodic,18,0.000000,0.017700,0.017700,0.030000,0.030000,0.050000,0.030000,HARD,,
7,t07,Aperiodic,11,0.000000,0.069300,0.069300,0.090000,0.090000,0.170000,0.090000,HARD,,
8,t08,Aperiodic,5,0.000000,0.004300,0.004300,0.530000,0.530000,0.890000,0.530000,HARD,,
9,t09,Aperiodic,22,0.000000,0.005800,0.009800,0.010000,0.010000,0.030000,0.010000,HARD,,
10,t10,Aperiodic,17,0.000000,0.007500,0.007500,0.030000,0.030000,0.070000,0.030000,HARD,,
11,t11,Periodic,14,0.000000,0.022800,0.022800,0.050000,,,0.050000,HARD,,
12,t12,Aperiodic,8,0.000000,0.033400,0.033400,0.120000,0.120000,0.200000,0.120000,HARD,,
13,t13,Aperiodic,4,0.000000,0.186400,0.186400,0.550000,0.550000,0.930000,0.550000,HARD,,
14,t14,Aperiodic,1,0.000000,0.070500,0.070500,0.740000,0.740000,1.240000,0.740000,HARD,,
15,t15,Periodic,9,0.000000,0.022100,0.022100,0.110000,,,0.110000,HARD,,
16,t16,Aperiodic,3,0.000000,0.236800,0.236800,0.600000,0.600000,1.000000,0.600000,HARD,,
17,t17,Periodic,21,0.000000,0.002700,0.004700,0.010000,,,0.010000,HARD,,
18,t18,Periodic,13,0.000000,0.005900,0.005900,0.060000,,,0.060000,HARD,,
19,t19,Periodic,20,0.000000,0.000600,0.000600,0.010000,,,0.010000,HARD,,
20,t20,Periodic,19,0.000000,0.000900,0.000900,0.020000,,,0.020000,HARD,,
21,t21,Aperiodic,2,0.000000,0.026500,0.026500,0.610000,0.610000,1.030000,0.610000,HARD,,
22,t22,Periodic,12,0.000000,0.038200,0.038200,0.060000,,,0.060000,HARD,,
23,t23,Periodic,10,0.000000,0.017500,0.017500,0.100000,,,0.100000,HARD,,
24,t24,Aperiodic,16,0.000000,0.017200,0.017200,0.030000,0.030000,0.050000,0.030000,HARD,,
25,t25,Aperiodic,7,0.000000,0.074000,0.074000,0.150000,0.150000,0.270000,0.150000,HARD,,

