Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,5,0.000000,0.011300,0.011300,0.170000,0.170000,0.290000,0.170000,HARD,,
2,t02,Periodic,25,0.000000,0.001200,0.001200,0.010000,,,0.010000,HARD,,
3,t03,Periodic,20,0.000000,0.000800,0.000800,0.020000,,,0.020000,HARD,,
4,t04,Aperiodic,12,0.000000,0.002000,0.002000,0.070000,0.070000,0.130000,0.070000,HARD,,
5,t05,Aperiodic,2,0.000000,0.015500,0.015500,0.420000,0.420000,0.720000,0.420000,HARD,,
6,t06,Periodic,24,0.000000,0.001300,0.001300,0.010000,,,0.010000,HARD,,
7,t07,Aperiodic,16,0.000000,0.000900,0.000900,0.040000,0.040000,0.080000,0.040000,HARD,,
8,t08,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
9,t09,Periodic,22,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
10,t10,Periodic,11,0.000000,0.000600,0.000600,0.070000,,,0.070000,HARD,,
11,t11,Aperiodic,19,0.000000,0.000700,0.000700,0.020000,0.020000,0.040000,0.020000,HARD,,
12,t12,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
13,t13,Aperiodic,4,0.000000,0.026600,0.026600,0.280000,0.280000,0.480000,0.280000,HARD,,
14,t14,Periodic,6,0.000000,0.003900,0.006700,0.140000,,,0.140000,HARD,,
15,t15,Aperiodic,10,0.000000,0.001100,0.001100,0.080000,0.080000,0.140000,0.080000,HARD,,
16,t16,Aperiodic,15,0.000000,0.003700,0.003700,0.040000,0.040000,0.080000,0.040000,HARD,,
17,t17,Aperiodic,17,0.000000,0.000200,0.000200,0.030000,0.030000,0.070000,0.030000,HARD,,
18,t18,Periodic,1,0.000000,0.009500,0.015900,0.490000,,,0.490000,HARD,,
19,t19,Aperiodic,14,0.000000,0.002500,0.002500,0.050000,0.050000,0.090000,0.050000,HARD,,
20,t20,Periodic,13,0.000000,0.001100,0.001100,0.050000,,,0.050000,HARD,,
21,t21,Aperiodic,9,0.000000,0.001700,0.001700,0.090000,0.090000,0.170000,0.090000,HARD,,
22,t22,Periodic,8,0.000000,0.000100,0.000100,0.100000,,,0.100000,HARD,,
23,t23,Aperiodic,7,0.000000,0.004000,0.004000,0.110000,0.110000,0.190000,0.110000,HARD,,
24,t24,Periodic,18,0.000000,0.000300,0.000300,0.020000,,,0.020000,HARD,,
25,t25,Aperiodic,3,0.000000,0.048400,0.048400,0.300000,0.300000,0.500000,0.300000,HARD,,

