Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,7,0.000000,0.026400,0.044000,0.210000,0.210000,0.350000,0.210000,HARD,,
2,t02,Periodic,19,0.000000,0.000800,0.000800,0.020000,,,0.020000,HARD,,
3,t03,Aperiodic,1,0.000000,0.074300,0.074300,0.490000,0.490000,0.830000,0.490000,HARD,,
4,t04,Aperiodic,10,0.000000,0.002700,0.002700,0.140000,0.140000,0.240000,0.140000,HARD,,
5,t05,Aperiodic,3,0.000000,0.031700,0.031700,0.330000,0.330000,0.550000,0.330000,HARD,,
6,t06,Periodic,11,0.000000,0.007300,0.007300,0.120000,,,0.120000,HARD,,
7,t07,Aperiodic,6,0.000000,0.005700,0.005700,0.210000,0.210000,0.370000,0.210000,HARD,,
8,t08,Periodic,18,0.000000,0.000300,0.000300,0.020000,,,0.020000,HARD,,
9,t09,Periodic,15,0.000000,0.003500,0.003500,0.040000,,,0.040000,HARD,,
10,t10,Aperiodic,9,0.000000,0.000300,0.000300,0.150000,0.150000,0.250000,0.150000,HARD,,
11,t11,Periodic,25,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
12,t12,Aperiodic,13,0.000000,0.000100,0.000100,0.060000,0.060000,0.100000,0.060000,HARD,,
13,t13,Periodic,24,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
14,t14,Aperiodic,4,0.000000,0.001900,0.001900,0.270000,0.270000,0.450000,0.270000,HARD,,
15,t15,Aperiodic,17,0.000000,0.000700,0.000700,0.030000,0.030000,0.070000,0.030000,HARD,,
16,t16,Aperiodic,5,0.000000,0.002100,0.002100,0.210000,0.210000,0.350000,0.210000,HARD,,
17,t17,Aperiodic,2,0.000000,0.001500,0.001500,0.350000,0.350000,0.590000,0.350000,HARD,,
18,t18,Periodic,8,0.000000,0.006600,0.006600,0.150000,,,0.150000,HARD,,
19,t19,Aperiodic,12,0.000000,0.005200,0.005200,0.080000,0.080000,0.140000,0.080000,HARD,,
20,t20,Periodic,14,0.000000,0.002100,0.002100,0.050000,,,0.050000,HARD,,
21,t21,Aperiodic,16,0.000000,0.001000,0.001000,0.030000,0.030000,0.070000,0.030000,HARD,,
22,t22,Periodic,23,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
23,t23,Periodic,22,0.000000,0.000200,0.000400,0.010000,,,0.010000,HARD,,
24,t24,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
25,t25,Periodic,20,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,

