Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,39519.027000, 1024.000000,1674.100000,2840.000000,16384.000000,18.100000
2,40196.906000, 1024.000000,1832.300000,3108.000000,16384.000000,18.000000
3,39147.560000, 1024.000000,1718.700000,2848.000000,16384.000000,18.100000
4,40615.871000, 1024.000000,1818.300000,3252.000000,16384.000000,18.000000
5,40183.129000, 1024.000000,1746.100000,3092.000000,16384.000000,17.800000
6,39933.562000, 1024.000000,1841.000000,3172.000000,16384.000000,18.000000
7,39094.094000, 1024.000000,1842.000000,3324.000000,16384.000000,17.900000
8,37591.773000, 1024.000000,1787.000000,3104.000000,16384.000000,18.000000
9,36940.948000, 1024.000000,1660.600000,3152.000000,16384.000000,18.000000
10,40257.177000, 1024.000000,1876.400000,3276.000000,16384.000000,18.000000
11,39618.130000, 1024.000000,1596.800000,2700.000000,16384.000000,18.100000
12,40444.380000, 1024.000000,1677.000000,3264.000000,16384.000000,18.000000
13,39723.161000, 1024.000000,1638.100000,2832.000000,16384.000000,18.000000
14,40662.311000, 1024.000000,1803.500000,3072.000000,16384.000000,18.000000
15,40263.314000, 1024.000000,1861.400000,3072.000000,16384.000000,18.000000
16,39368.727000, 1024.000000,1783.800000,3112.000000,16384.000000,18.100000
17,38749.528000, 1024.000000,1850.100000,3184.000000,16384.000000,18.000000
18,37116.320000, 1024.000000,1784.300000,3168.000000,16384.000000,18.000000
19,36772.365000, 1024.000000,1891.500000,3152.000000,16384.000000,18.700000
20,40155.284000, 1024.000000,1977.000000,3328.000000,16384.000000,17.900000
21,39461.032000, 1024.000000,1622.400000,2760.000000,16384.000000,17.800000
22,40172.630000, 1024.000000,1750.500000,3080.000000,16384.000000,18.000000
23,39383.894000, 1024.000000,1641.500000,3096.000000,16384.000000,18.000000
24,40369.614000, 1024.000000,1850.100000,3132.000000,16384.000000,18.000000
25,40062.876000, 1024.000000,1802.300000,3072.000000,16384.000000,18.000000
26,39802.558000, 1024.000000,1844.700000,3188.000000,16384.000000,18.000000
27,38679.755000, 1024.000000,1889.000000,3200.000000,16384.000000,17.900000
28,36729.813000, 1024.000000,1954.600000,3248.000000,16384.000000,17.900000
29,35902.681000, 1024.000000,1784.200000,3104.000000,16384.000000,18.000000
30,39260.098000, 1024.000000,1883.800000,3312.000000,16384.000000,18.100000
31,39737.357000, 1024.000000,1649.500000,2780.000000,16384.000000,17.900000
32,40729.359000, 1024.000000,1907.500000,3192.000000,16384.000000,18.000000
33,39991.091000, 1024.000000,1615.500000,2736.000000,16384.000000,18.000000
34,40845.574000, 1024.000000,1908.800000,3336.000000,16384.000000,17.900000
35,40596.254000, 1024.000000,1921.000000,3212.000000,16384.000000,17.900000
36,40313.149000, 1024.000000,1637.100000,3072.000000,16384.000000,17.900000
37,39065.595000, 1024.000000,1814.200000,3228.000000,16384.000000,18.000000
38,37602.807000, 1024.000000,1858.600000,3240.000000,16384.000000,18.100000
39,36580.113000, 1024.000000,1809.800000,3072.000000,16384.000000,18.000000
40,40040.998000, 1024.000000,1827.500000,3272.000000,16384.000000,17.900000
41,39585.093000, 1024.000000,1577.900000,2728.000000,16384.000000,18.000000
42,40418.937000, 1024.000000,1849.000000,3228.000000,16384.000000,17.900000
43,39620.055000, 1024.000000,1630.100000,3016.000000,16384.000000,17.900000
44,40474.589000, 1024.000000,1931.100000,3240.000000,16384.000000,18.000000
45,40482.457000, 1024.000000,1919.900000,3184.000000,16384.000000,18.000000
46,39729.547000, 1024.000000,1688.200000,3236.000000,16384.000000,17.900000
47,38500.544000, 1024.000000,2016.700000,3376.000000,16384.000000,18.000000
48,36687.292000, 1024.000000,1790.400000,3304.000000,16384.000000,18.000000
49,35687.239000, 1024.000000,1854.400000,3092.000000,16384.000000,18.100000
50,39319.956000, 1024.000000,2073.900000,3504.000000,16384.000000,18.000000
