Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,26821.228000, 1024.000000,1629.900000,3072.000000,16384.000000,18.000000
2,27519.200000, 1024.000000,1851.200000,3180.000000,16384.000000,18.200000
3,26744.767000, 1024.000000,1596.800000,3072.000000,16384.000000,18.100000
4,27542.647000, 1024.000000,1822.900000,3120.000000,16384.000000,18.200000
5,27273.817000, 1024.000000,1800.500000,3228.000000,16384.000000,18.100000
6,26873.718000, 1024.000000,1831.900000,3072.000000,16384.000000,18.100000
7,26097.279000, 1024.000000,1891.100000,3236.000000,16384.000000,18.200000
8,24933.479000, 1024.000000,1801.000000,3184.000000,16384.000000,18.100000
9,24214.744000, 1024.000000,1731.000000,3236.000000,16384.000000,18.100000
10,26910.646000, 1024.000000,1893.500000,3544.000000,16384.000000,18.100000
11,27430.138000, 1024.000000,1694.600000,3072.000000,16384.000000,18.100000
12,27993.127000, 1024.000000,1677.500000,3072.000000,16384.000000,18.100000
13,27517.624000, 1024.000000,1579.700000,2756.000000,16384.000000,18.100000
14,28075.786000, 1024.000000,1839.200000,3072.000000,16384.000000,18.300000
15,28093.469000, 1024.000000,1643.600000,3072.000000,16384.000000,18.100000
16,27786.878000, 1024.000000,1847.600000,3088.000000,16384.000000,18.100000
17,27158.708000, 1024.000000,1734.800000,3072.000000,16384.000000,18.200000
18,26630.795000, 1024.000000,1856.500000,3128.000000,16384.000000,18.100000
19,26346.363000, 1024.000000,1640.900000,2936.000000,16384.000000,18.200000
20,28819.865000, 1024.000000,1835.000000,3080.000000,16384.000000,18.100000
21,26367.909000, 1024.000000,1722.400000,3072.000000,16384.000000,18.200000
22,26968.372000, 1024.000000,1833.000000,3136.000000,16384.000000,18.700000
23,26367.401000, 1024.000000,1781.300000,3008.000000,16384.000000,18.500000
24,27300.035000, 1024.000000,1742.200000,3072.000000,16384.000000,18.100000
25,26796.262000, 1024.000000,1857.800000,3200.000000,16384.000000,18.000000
26,26639.049000, 1024.000000,1649.100000,3160.000000,16384.000000,18.100000
27,25968.024000, 1024.000000,1731.500000,3140.000000,16384.000000,18.200000
28,24819.740000, 1024.000000,1854.100000,3072.000000,16384.000000,18.100000
29,24153.526000, 1024.000000,1732.200000,3112.000000,16384.000000,18.200000
30,26983.455000, 1024.000000,1820.700000,3352.000000,16384.000000,18.100000
31,26549.742000, 1024.000000,1631.800000,3072.000000,16384.000000,18.100000
32,26135.548000, 1024.000000,1649.400000,2968.000000,16384.000000,18.100000
33,26619.579000, 1024.000000,1588.500000,2824.000000,16384.000000,18.200000
34,27573.112000, 1024.000000,1849.900000,3364.000000,16384.000000,18.100000
35,27139.977000, 1024.000000,1636.100000,3280.000000,16384.000000,18.100000
36,26488.469000, 1024.000000,1759.500000,3072.000000,16384.000000,18.100000
37,25854.083000, 1024.000000,1841.400000,3264.000000,16384.000000,18.700000
38,27060.011000, 1024.000000,1756.600000,3284.000000,16384.000000,18.200000
39,24739.994000, 1024.000000,1866.200000,3160.000000,16384.000000,18.200000
40,24564.401000, 1024.000000,1708.500000,3128.000000,16384.000000,18.100000
41,27228.190000, 1024.000000,1583.300000,2792.000000,16384.000000,18.000000
42,27845.632000, 1024.000000,1956.800000,3300.000000,16384.000000,18.200000
43,26943.968000, 1024.000000,1559.500000,2688.000000,16384.000000,18.100000
44,28025.644000, 1024.000000,1751.700000,3072.000000,16384.000000,18.200000
45,28040.860000, 1024.000000,1819.000000,3072.000000,16384.000000,18.100000
46,27534.382000, 1024.000000,1642.500000,3136.000000,16384.000000,18.000000
47,27029.851000, 1024.000000,1837.400000,3508.000000,16384.000000,18.100000
48,26291.276000, 1024.000000,1738.700000,3264.000000,16384.000000,18.100000
49,25746.578000, 1024.000000,1729.900000,3072.000000,16384.000000,18.200000
50,29333.507000, 1024.000000,1803.800000,3132.000000,16384.000000,18.000000
