Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,764.000000,23,0.000000,2.128699e-77,3,5,5,2,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,10,7760,56,174406
2,729.000000,23,0.000000,8.744992e-78,3,6,5,1,21,11,21,10,21,21,6,6,5,4,3,151,6,6,11,10,7624,56,145853
3,744.000000,23,0.000000,1.199605e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,2,151,6,5,11,9,5012,56,182607
4,738.000000,23,0.000000,1.167052e-77,3,6,5,2,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,8,6259,56,88911
5,722.000000,23,0.000000,1.003516e-77,3,6,4,2,21,11,21,11,21,21,5,6,6,3,3,151,6,6,11,11,7317,56,149480
6,731.000000,23,0.000000,7.901772e-78,2,6,5,2,21,11,21,11,21,21,5,6,6,3,3,151,6,6,11,10,7706,56,130387
7,742.000000,23,0.000000,1.568416e-77,3,6,5,1,21,11,21,11,21,21,6,5,6,4,3,151,6,6,11,11,5757,56,148466
8,727.000000,23,0.000000,2.199430e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,9,6044,56,138818
9,723.000000,23,0.000000,1.300708e-77,3,6,5,2,21,11,21,11,21,21,5,6,5,4,3,151,6,6,11,10,4271,56,193624
10,753.000000,23,0.000000,1.145040e-77,2,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,10,3084,56,118028
11,741.000000,23,0.000000,1.212952e-77,3,6,5,2,20,11,21,11,21,20,6,6,6,4,3,151,6,6,11,9,7872,56,117557
12,722.000000,23,0.000000,1.169783e-77,3,6,5,2,21,11,21,11,20,21,6,6,6,4,3,151,6,5,11,11,5045,56,126359
13,744.000000,23,0.000000,1.005193e-77,3,5,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,5,11,10,6713,55,190402
14,718.000000,23,0.000000,1.755809e-77,3,6,5,2,21,11,21,11,21,21,5,6,6,4,3,150,6,6,11,11,6046,56,158260
15,748.000000,23,0.000000,1.037817e-77,3,5,5,2,21,11,21,11,21,21,6,5,6,4,3,151,6,6,11,7,6801,56,194038
16,759.000000,23,0.000000,1.841951e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,150,6,6,11,10,8321,56,140738
17,743.000000,23,0.000000,1.711866e-77,2,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,11,5237,56,178135
18,743.000000,23,0.000000,1.054210e-77,3,6,5,2,21,11,21,11,21,20,6,6,6,4,3,151,5,6,11,9,6341,56,126841
19,762.000000,23,0.000000,1.384353e-77,3,6,5,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,11,7,6176,56,142511
20,743.000000,23,0.000000,8.156720e-78,3,6,5,2,21,11,21,11,21,20,6,6,5,4,3,151,6,5,11,11,8222,56,108126
21,729.000000,23,0.000000,1.385859e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,5,5,11,11,6248,56,120876
22,748.000000,23,0.000000,1.279572e-77,3,6,5,1,21,11,21,11,21,21,5,6,6,4,2,151,6,6,11,11,8095,56,172282
23,726.000000,23,0.000000,5.151788e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,6,11,11,7227,56,194237
24,757.000000,23,0.000000,1.493850e-77,3,6,5,2,21,11,20,11,20,21,6,6,6,4,3,151,6,6,11,9,6753,56,168772
25,744.000000,23,0.000000,1.581922e-77,3,6,5,2,21,11,20,11,21,21,6,6,6,4,3,151,6,6,11,11,2404,56,179301
26,749.000000,23,0.000000,7.560705e-78,3,6,5,1,21,10,21,11,21,21,5,6,6,4,3,151,6,6,11,11,4709,56,174995
27,746.000000,23,0.000000,9.918638e-78,3,6,4,2,21,11,21,10,21,21,6,6,6,4,3,151,6,6,11,9,7791,56,97129
28,733.000000,23,0.000000,1.010934e-77,3,6,5,2,21,10,21,11,21,21,6,6,6,4,3,151,5,6,11,11,5637,55,195464
29,760.000000,23,0.000000,1.185032e-77,2,6,5,1,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,11,6987,56,184855
30,730.000000,23,0.000000,1.435620e-77,3,6,5,1,21,11,20,11,21,21,6,6,6,4,3,151,6,6,11,10,6120,56,149141
31,719.000000,23,0.000000,1.449317e-77,3,6,5,2,21,11,21,11,21,21,6,6,5,4,3,151,6,6,10,11,4340,56,181985
32,725.000000,23,0.000000,2.317587e-77,3,6,4,2,21,11,21,11,21,21,6,5,6,4,3,151,6,6,11,11,8047,56,156951
33,723.000000,23,0.000000,7.995134e-78,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,3614,55,120559
34,730.000000,23,0.000000,1.187864e-77,3,6,5,2,21,10,21,11,21,21,6,6,5,4,3,151,6,6,11,10,3986,56,189469
35,718.000000,23,0.000000,7.740797e-78,3,5,4,1,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,10,6719,56,146494
36,737.000000,23,0.000000,1.850154e-77,3,6,5,2,21,11,21,11,21,21,6,5,6,4,3,151,6,5,11,11,8312,56,121301
37,727.000000,23,0.000000,1.160768e-77,3,6,4,2,21,11,21,11,21,21,6,6,5,3,3,151,6,6,11,11,7864,56,160877
38,730.000000,23,0.000000,1.362684e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,3,3,151,6,5,10,11,7668,56,193689
39,730.000000,23,0.000000,8.807548e-78,2,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,10,10,7109,56,157538
40,730.000000,23,0.000000,1.230646e-77,3,5,5,2,20,10,21,11,21,21,6,6,6,4,3,151,6,6,11,11,7771,56,172603
41,743.000000,23,0.000000,1.321742e-77,3,6,4,2,21,10,21,11,21,21,6,6,6,4,3,151,6,6,10,11,7568,56,190352
42,734.000000,23,0.000000,4.274097e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,9,5215,56,156322
43,744.000000,23,0.000000,1.121033e-77,3,5,4,2,21,11,21,11,21,21,5,6,6,4,3,151,6,6,11,11,6587,56,185491
44,726.000000,23,0.000000,8.291811e-78,3,6,4,2,21,11,21,11,21,20,6,6,6,4,3,151,6,6,11,9,4332,56,146033
45,733.000000,23,0.000000,1.056277e-77,2,6,5,1,21,11,21,11,21,21,6,5,6,4,3,151,6,6,11,10,7287,56,184318
46,725.000000,23,0.000000,7.130828e-78,3,6,4,2,21,11,21,11,21,21,6,6,6,4,3,151,6,5,11,11,8388,56,46328
47,730.000000,23,0.000000,1.687149e-77,3,6,4,2,21,11,21,11,21,21,6,6,6,4,2,151,6,6,11,11,5530,56,166261
48,725.000000,23,0.000000,1.300049e-77,3,6,5,2,20,11,20,11,21,20,6,6,6,4,3,151,6,6,11,11,7823,56,181125
49,722.000000,23,0.000000,1.108413e-77,3,6,5,2,21,11,21,11,21,21,6,6,6,4,2,150,6,6,11,10,5531,56,127411
50,739.000000,23,0.000000,1.806331e-77,3,6,5,2,21,10,20,11,21,21,6,6,6,4,3,151,6,6,11,11,8349,56,117903
