Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T22,T23,T24
1,18825.970000,1,0.057500,1.230923e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8385,56,200000
2,18776.687000,1,0.051200,1.231951e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8392,56,200000
3,18951.407000,1,0.043100,1.231804e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8391,56,200000
4,18798.908000,1,0.055900,1.231511e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8389,56,200000
5,18903.883000,1,0.051700,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
6,18733.326000,1,0.049200,1.232245e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8394,56,200000
7,18628.120000,1,0.049800,1.231511e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8389,56,200000
8,18303.429000,1,0.056900,1.231804e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8391,56,200000
9,18367.834000,1,0.049800,1.232538e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8396,56,200000
10,18669.436000,1,0.038100,1.229749e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8377,56,200000
11,19148.591000,1,0.031800,1.229455e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8375,56,200000
12,19407.434000,1,0.035800,1.231657e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8390,56,200000
13,19205.970000,1,0.061900,1.232832e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8398,56,200000
14,19154.738000,1,0.043200,1.232685e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8397,56,200000
15,19273.624000,1,0.044700,1.230923e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8385,56,200000
16,19008.200000,1,0.048000,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
17,19096.011000,1,0.047500,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
18,18854.688000,1,0.041600,1.230336e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8381,56,200000
19,18680.795000,1,0.036600,1.230777e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8384,56,200000
20,19050.256000,1,0.050900,1.230923e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8385,56,200000
21,18860.595000,1,0.043900,1.229455e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8375,56,200000
22,18940.336000,1,0.044300,1.229455e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8375,56,200000
23,18984.335000,1,0.037100,1.230483e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8382,56,200000
24,18846.235000,1,0.032600,1.229602e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8376,56,200000
25,18889.539000,1,0.053700,1.230777e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8384,56,200000
26,18944.456000,1,0.057100,1.230923e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8385,56,200000
27,18722.017000,1,0.036500,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
28,18436.878000,1,0.061400,1.230483e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8382,56,200000
29,18674.825000,1,0.051200,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
30,18694.811000,1,0.039000,1.229602e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8376,56,200000
31,18920.129000,1,0.044600,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
32,18963.958000,1,0.046000,1.230777e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8384,56,200000
33,18963.425000,1,0.053000,1.231364e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8388,56,200000
34,19114.362000,1,0.054300,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
35,18942.885000,1,0.046500,1.229162e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8373,56,200000
36,18989.865000,1,0.052800,1.231657e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8390,56,200000
37,19000.308000,1,0.025500,1.228868e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8371,56,200000
38,18732.342000,1,0.040300,1.231070e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8386,56,200000
39,18572.002000,1,0.041400,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
40,18797.809000,1,0.037300,1.230483e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8382,56,200000
41,19469.901000,1,0.052800,1.230630e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8383,56,200000
42,19413.016000,1,0.051100,1.232685e-76,3,6,5,2,21,11,21,11,21,21,6,6,6,4,3,151,6,6,11,11,8397,56,200000
