Run,countDM,numSol,ratioDM
1,0,40000,0.00000000000000000000
2,14,40000,0.00035000000000000000
3,2,40000,0.00005000000000000000
4,8,40000,0.00020000000000000001
5,2,40000,0.00005000000000000000
6,0,40000,0.00000000000000000000
7,10,40000,0.00025000000000000001
8,19,40000,0.00047500000000000000
9,0,40000,0.00000000000000000000
10,1,40000,0.00002500000000000000
11,3,40000,0.00007499999999999999
12,0,40000,0.00000000000000000000
13,0,40000,0.00000000000000000000
14,0,40000,0.00000000000000000000
15,4,40000,0.00010000000000000000
16,11,40000,0.00027500000000000002
17,1,40000,0.00002500000000000000
18,2,40000,0.00005000000000000000
19,7,40000,0.00017500000000000000
20,5,40000,0.00012500000000000000
21,5,40000,0.00012500000000000000
22,10,40000,0.00025000000000000001
23,4,40000,0.00010000000000000000
24,0,40000,0.00000000000000000000
25,0,40000,0.00000000000000000000
26,0,40000,0.00000000000000000000
27,2,40000,0.00005000000000000000
28,0,40000,0.00000000000000000000
29,1,40000,0.00002500000000000000
30,0,40000,0.00000000000000000000
31,5,40000,0.00012500000000000000
32,4,40000,0.00010000000000000000
33,6,40000,0.00014999999999999999
34,1,40000,0.00002500000000000000
35,0,40000,0.00000000000000000000
36,4,40000,0.00010000000000000000
37,0,40000,0.00000000000000000000
38,2,40000,0.00005000000000000000
39,13,40000,0.00032499999999999999
40,0,40000,0.00000000000000000000
41,2,40000,0.00005000000000000000
42,2,40000,0.00005000000000000000
43,0,40000,0.00000000000000000000
44,0,40000,0.00000000000000000000
45,14,40000,0.00035000000000000000
46,0,40000,0.00000000000000000000
47,5,40000,0.00012500000000000000
48,8,40000,0.00020000000000000001
49,13,40000,0.00032499999999999999
50,0,40000,0.00000000000000000000
