Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,11993.872000, 1024.000000,1716.300000,3152.000000,16384.000000,18.900000
2,12051.856000, 1024.000000,2059.900000,3764.000000,16384.000000,18.600000
3,11772.529000, 1024.000000,1898.700000,3300.000000,16384.000000,18.900000
4,12132.403000, 1024.000000,2116.300000,3884.000000,16384.000000,19.000000
5,12428.709000, 1024.000000,1863.100000,3336.000000,16384.000000,19.000000
6,12061.819000, 1024.000000,1863.600000,3320.000000,16384.000000,19.100000
7,50252.299000, 1024.000000,919.400000,1544.000000,16384.000000,17.800000
8,85489.551000, 1024.000000,1075.900000,1776.000000,16384.000000,17.900000
9,85453.897000, 1024.000000,1081.800000,1776.000000,16384.000000,17.800000
10,89777.286000, 1024.000000,1178.700000,2132.000000,16384.000000,17.900000
11,11953.674000, 1024.000000,1871.400000,3200.000000,16384.000000,19.200000
12,12120.341000, 1024.000000,2161.400000,3676.000000,16384.000000,18.000000
13,11992.345000, 1024.000000,1752.700000,3324.000000,16384.000000,19.100000
14,12196.043000, 1024.000000,2006.900000,3584.000000,16384.000000,18.600000
15,12275.378000, 1024.000000,1662.200000,3352.000000,16384.000000,18.900000
16,12028.677000, 1024.000000,1959.600000,3356.000000,16384.000000,18.000000
17,24711.595000, 1024.000000,1637.200000,2804.000000,16384.000000,17.800000
18,25891.382000, 1024.000000,1578.200000,3120.000000,16384.000000,19.000000
19,25878.319000, 1024.000000,1513.500000,3072.000000,16384.000000,18.200000
20,27100.890000, 1024.000000,1885.500000,3144.000000,16384.000000,18.000000
21,11989.458000, 1024.000000,1717.500000,3216.000000,16384.000000,18.400000
22,12267.402000, 1024.000000,1741.000000,3272.000000,16384.000000,18.500000
23,12193.866000, 1024.000000,1840.600000,3328.000000,16384.000000,19.100000
24,12589.017000, 1024.000000,2014.700000,3660.000000,16384.000000,19.100000
25,12350.289000, 1024.000000,1778.400000,3296.000000,16384.000000,18.800000
26,12327.469000, 1024.000000,1955.400000,3716.000000,16384.000000,19.100000
27,12333.060000, 1024.000000,1871.800000,3524.000000,16384.000000,18.700000
28,11086.174000, 1024.000000,1889.700000,3652.000000,16384.000000,19.100000
29,10995.057000, 1024.000000,1903.500000,3336.000000,16384.000000,18.900000
30,12824.683000, 1024.000000,2191.000000,3676.000000,16384.000000,18.900000
31,11996.468000, 1024.000000,1627.800000,3096.000000,16384.000000,18.500000
32,12171.651000, 1024.000000,2015.900000,3468.000000,16384.000000,18.900000
33,12049.044000, 1024.000000,1709.900000,3412.000000,16384.000000,19.100000
34,12342.145000, 1024.000000,2040.600000,3608.000000,16384.000000,17.900000
35,12157.799000, 1024.000000,1715.600000,3252.000000,16384.000000,19.200000
36,12102.460000, 1024.000000,2060.800000,3976.000000,16384.000000,18.800000
37,12210.848000, 1024.000000,1976.500000,3580.000000,16384.000000,18.900000
38,11412.612000, 1024.000000,2168.800000,3716.000000,16384.000000,19.400000
39,11242.106000, 1024.000000,1933.600000,3508.000000,16384.000000,19.200000
40,13064.012000, 1024.000000,2069.800000,3728.000000,16384.000000,19.000000
41,12169.839000, 1024.000000,1704.000000,3072.000000,16384.000000,18.900000
42,12337.855000, 1024.000000,2118.100000,3632.000000,16384.000000,19.100000
43,12184.471000, 1024.000000,1951.800000,3300.000000,16384.000000,19.100000
44,12556.032000, 1024.000000,2002.100000,3408.000000,16384.000000,18.900000
45,12264.823000, 1024.000000,1742.000000,3184.000000,16384.000000,19.000000
46,12232.178000, 1024.000000,2280.500000,4012.000000,16384.000000,19.100000
47,12337.528000, 1024.000000,2012.300000,3628.000000,16384.000000,18.000000
48,11538.887000, 1024.000000,2211.700000,3788.000000,16384.000000,19.000000
49,11296.675000, 1024.000000,1824.700000,3296.000000,16384.000000,19.100000
50,13268.175000, 1024.000000,2076.900000,3568.000000,16384.000000,18.900000
