Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,23879.224000, 1024.000000,1341.200000,3052.000000,16384.000000,18.600000
2,24126.945000, 1024.000000,1500.400000,2824.000000,16384.000000,18.700000
3,23964.066000, 1024.000000,1344.300000,2408.000000,16384.000000,19.100000
4,24344.502000, 1024.000000,1455.600000,2844.000000,16384.000000,18.800000
5,24382.248000, 1024.000000,1583.600000,2832.000000,16384.000000,17.600000
6,24041.086000, 1024.000000,1177.100000,3152.000000,16384.000000,18.700000
7,37071.085000, 1024.000000,1475.800000,2520.000000,16384.000000,18.400000
8,38680.322000, 1024.000000,1477.500000,2552.000000,16384.000000,18.700000
9,38612.440000, 1024.000000,1388.000000,2568.000000,16384.000000,18.600000
10,41613.363000, 1024.000000,2335.800000,4096.000000,16384.000000,17.900000
11,18436.223000, 1024.000000,1504.200000,2536.000000,16384.000000,18.800000
12,18691.363000, 1024.000000,1533.800000,2856.000000,16384.000000,18.700000
13,18450.704000, 1024.000000,1581.700000,2724.000000,16384.000000,18.900000
14,19019.657000, 1024.000000,1388.200000,3004.000000,16384.000000,18.700000
15,18629.266000, 1024.000000,1264.100000,2604.000000,16384.000000,18.300000
16,18559.249000, 1024.000000,1495.100000,2844.000000,16384.000000,18.600000
17,18567.288000, 1024.000000,1810.000000,3020.000000,16384.000000,18.600000
18,16902.372000, 1024.000000,1481.900000,2676.000000,16384.000000,18.800000
19,16628.315000, 1024.000000,1318.100000,2720.000000,16384.000000,18.800000
20,19188.568000, 1024.000000,2021.900000,3428.000000,16384.000000,17.700000
21,18051.637000, 1024.000000,1374.200000,2816.000000,16384.000000,18.400000
22,18269.681000, 1024.000000,1516.400000,2860.000000,16384.000000,18.700000
23,18053.448000, 1024.000000,1424.600000,2548.000000,16384.000000,18.300000
24,18606.441000, 1024.000000,1697.200000,3216.000000,16384.000000,18.600000
25,18290.320000, 1024.000000,1404.700000,2436.000000,16384.000000,18.700000
26,18230.354000, 1024.000000,1660.600000,3416.000000,16384.000000,18.600000
27,18236.589000, 1024.000000,2443.300000,4200.000000,16384.000000,18.700000
28,17026.562000, 1024.000000,1546.300000,3040.000000,16384.000000,18.600000
29,16816.329000, 1024.000000,1468.500000,2532.000000,16384.000000,18.700000
30,19255.617000, 1024.000000,1479.900000,3120.000000,16384.000000,17.900000
31,18202.075000, 1024.000000,1087.400000,2352.000000,16384.000000,18.800000
32,18481.191000, 1024.000000,1513.000000,2704.000000,16384.000000,18.700000
33,18023.258000, 1024.000000,1630.800000,2748.000000,16384.000000,18.500000
34,18685.033000, 1024.000000,1537.400000,2960.000000,16384.000000,18.700000
35,18444.115000, 1024.000000,1568.500000,2768.000000,16384.000000,18.600000
36,18429.759000, 1024.000000,1344.400000,2948.000000,16384.000000,18.200000
37,19249.340000, 1024.000000,1285.900000,3024.000000,16384.000000,18.500000
38,19073.550000, 1024.000000,1255.300000,2928.000000,16384.000000,18.700000
39,18961.574000, 1024.000000,1673.700000,2816.000000,16384.000000,17.800000
40,21396.655000, 1024.000000,1773.700000,3304.000000,16384.000000,18.500000
41,18268.694000, 1024.000000,1308.200000,2180.000000,16384.000000,18.200000
42,18522.311000, 1024.000000,1477.800000,2920.000000,16384.000000,18.300000
43,18255.617000, 1024.000000,1542.300000,2664.000000,16384.000000,18.700000
44,18673.704000, 1024.000000,1587.200000,3076.000000,16384.000000,18.600000
45,18469.522000, 1024.000000,1501.000000,3252.000000,16384.000000,18.600000
46,18400.856000, 1024.000000,1576.600000,2836.000000,16384.000000,18.800000
47,18331.515000, 1024.000000,1518.900000,2772.000000,16384.000000,19.000000
48,16973.353000, 1024.000000,1339.800000,3096.000000,16384.000000,18.400000
49,16796.645000, 1024.000000,1563.800000,2780.000000,16384.000000,18.700000
50,19208.847000, 1024.000000,1579.100000,2924.000000,16384.000000,17.700000
