Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,356.000000,16,0.000000,8.098331e-48,56,16,182,12,39,5,240,299,71,498,1613,140,8,22,269,57
2,366.000000,16,0.000000,5.777945e-48,56,16,185,14,42,5,241,532,67,252,1607,138,9,22,269,52
3,359.000000,16,0.000000,8.098331e-48,56,16,182,12,39,5,240,299,71,498,1613,140,8,22,269,57
4,350.000000,16,0.000000,8.675993e-48,54,13,176,14,42,5,242,386,65,477,1605,143,8,22,269,59
5,356.000000,16,0.000000,8.098331e-48,56,16,182,12,39,5,240,299,71,498,1613,140,8,22,269,57
6,357.000000,16,0.000000,5.606669e-48,56,11,182,12,42,5,239,501,71,380,1609,143,7,18,269,63
7,362.000000,16,0.000000,8.069577e-48,56,15,185,14,42,6,242,537,64,300,1612,141,7,21,266,54
8,355.000000,16,0.000000,6.405561e-48,56,15,184,14,40,6,242,364,69,247,1611,144,9,18,265,62
9,360.000000,16,0.000000,5.760253e-48,54,16,182,12,40,4,242,483,70,301,1605,141,9,19,266,61
10,353.000000,16,0.000000,4.100924e-48,55,11,186,14,39,4,241,446,70,396,1614,143,7,21,262,60
11,364.000000,16,0.000000,5.155557e-48,54,11,185,12,42,5,241,514,72,401,1609,144,6,22,270,59
12,363.000000,16,0.000000,5.155557e-48,54,11,185,12,42,5,241,514,72,401,1609,144,6,22,270,59
13,372.000000,16,0.000000,4.726248e-48,56,14,173,11,41,5,240,367,65,522,1603,142,9,22,269,60
14,359.000000,16,0.000000,4.448231e-48,55,14,183,14,37,5,241,313,72,309,1611,144,8,19,270,63
15,359.000000,16,0.000000,6.972386e-48,56,13,180,14,39,4,238,411,71,348,1602,142,10,21,269,58
16,360.000000,16,0.000000,3.910729e-48,55,16,186,12,37,4,238,433,70,292,1606,142,9,21,270,60
17,377.000000,16,0.000000,7.298294e-48,53,14,187,14,42,6,238,369,70,496,1614,142,9,16,265,60
18,385.000000,16,0.000000,7.131789e-48,54,15,184,14,37,4,242,418,66,502,1611,144,9,19,266,55
19,416.000000,16,0.000000,6.702493e-48,55,13,183,13,39,4,242,329,72,520,1612,138,9,22,270,54
20,355.000000,16,0.000000,4.446035e-48,55,13,182,14,42,4,239,473,67,445,1606,140,8,20,264,55
21,424.000000,16,0.000000,1.441171e-47,56,14,186,13,42,3,242,399,66,580,1597,144,8,22,263,64
22,370.000000,16,0.000000,1.441171e-47,56,14,186,13,42,3,242,399,66,580,1597,144,8,22,263,64
23,397.000000,16,0.000000,1.441171e-47,56,14,186,13,42,3,242,399,66,580,1597,144,8,22,263,64
24,348.000000,16,0.000000,1.441171e-47,56,14,186,13,42,3,242,399,66,580,1597,144,8,22,263,64
25,370.000000,16,0.000000,1.441171e-47,56,14,186,13,42,3,242,399,66,580,1597,144,8,22,263,64
26,391.000000,16,0.000000,4.410842e-48,55,11,182,14,36,5,242,408,71,338,1598,144,10,20,270,63
27,380.000000,16,0.000000,6.507550e-48,55,12,188,12,38,6,241,452,70,392,1612,142,9,20,262,57
28,366.000000,16,0.000000,2.388005e-47,56,15,183,14,41,6,242,360,72,351,1606,144,7,20,268,62
29,381.000000,16,0.000000,5.391686e-48,54,16,187,12,38,5,242,423,65,410,1606,144,9,19,266,56
30,368.000000,16,0.000000,7.323428e-48,56,14,186,13,36,5,242,326,71,548,1602,142,7,22,268,61
31,382.000000,16,0.000000,7.977561e-48,55,15,180,14,39,5,240,400,71,275,1605,141,10,21,266,62
32,369.000000,16,0.000000,8.549707e-48,52,12,177,14,42,6,238,541,72,368,1606,143,9,22,269,64
33,375.000000,16,0.000000,7.977561e-48,55,15,180,14,39,5,240,400,71,275,1605,141,10,21,266,62
34,374.000000,16,0.000000,7.977561e-48,55,15,180,14,39,5,240,400,71,275,1605,141,10,21,266,62
35,366.000000,16,0.000000,7.977561e-48,55,15,180,14,39,5,240,400,71,275,1605,141,10,21,266,62
36,367.000000,16,0.000000,5.150336e-48,55,16,185,14,41,2,242,436,68,342,1613,142,9,20,259,64
37,373.000000,16,0.000000,9.260929e-48,54,13,187,13,42,5,241,399,66,342,1613,143,10,20,264,60
