Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,8613.576000,3,0.001900,5.282950e-47,56,12,188,14,42,6,242,331,72,318,1614,144,10,22,270,64
2,8786.439000,3,0.004200,7.601675e-47,56,12,188,14,42,6,242,346,72,343,1614,144,10,22,270,64
3,8914.351000,3,0.003200,8.318773e-47,56,13,188,14,42,6,242,339,72,327,1614,144,10,22,270,64
4,8941.927000,3,0.002900,7.022269e-47,56,12,188,14,42,6,242,345,72,334,1614,144,10,22,270,64
5,8903.364000,3,0.008100,1.294521e-46,56,13,188,14,42,6,242,356,72,365,1614,144,10,22,270,64
6,8732.177000,3,0.003500,8.651436e-47,56,13,188,14,42,6,242,342,72,328,1614,144,10,22,270,64
7,8734.677000,3,0.002000,6.988122e-47,56,12,188,14,42,6,242,347,72,331,1614,144,10,22,270,64
8,8878.169000,3,0.001100,5.834267e-47,56,12,188,14,42,6,242,342,72,316,1614,144,10,22,270,64
9,8780.340000,3,0.003700,8.974552e-47,56,13,188,14,42,6,242,344,72,330,1614,144,10,22,270,64
10,8551.461000,3,0.001400,4.130747e-47,56,12,188,14,42,6,242,318,72,309,1614,144,10,22,270,64
11,8757.835000,3,0.003400,8.036781e-47,56,13,188,14,42,6,242,339,72,323,1614,144,10,22,270,64
12,9170.258000,3,0.002800,7.394954e-47,56,13,188,14,42,6,242,338,72,315,1614,144,10,22,270,64
13,8577.995000,3,0.004200,8.959131e-47,56,13,188,14,42,6,242,343,72,331,1614,144,10,22,270,64
14,8752.091000,3,0.003200,6.357494e-47,56,12,188,14,42,6,242,340,72,328,1614,144,10,22,270,64
15,8667.074000,3,0.004400,8.600765e-47,56,13,188,14,42,6,242,339,72,331,1614,144,10,22,270,64
16,8619.914000,3,0.004100,8.069827e-47,56,13,188,14,42,6,242,342,72,320,1614,144,10,22,270,64
17,8005.737000,3,0.003800,9.094252e-47,56,13,188,14,42,6,242,339,72,338,1614,144,10,22,270,64
18,7406.075000,3,0.003600,8.063217e-47,56,13,188,14,42,6,242,333,72,331,1614,144,10,22,270,64
19,7297.039000,3,0.001600,4.708500e-47,56,12,188,14,42,6,242,326,72,312,1614,144,10,22,270,64
20,8021.007000,3,0.003900,8.214495e-47,56,13,188,14,42,6,242,337,72,328,1614,144,10,22,270,64
21,9040.716000,3,0.002600,7.835567e-47,56,13,188,14,42,6,242,340,72,319,1614,144,10,22,270,64
22,8872.304000,3,0.003600,6.261110e-47,56,12,188,14,42,6,242,341,72,325,1614,144,10,22,270,64
23,8839.756000,3,0.002100,5.212452e-47,56,12,188,14,42,6,242,334,72,313,1614,144,10,22,270,64
24,8950.424000,3,0.001800,7.472796e-47,56,13,188,14,42,6,242,339,72,315,1614,144,10,22,270,64
