Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,20886.879000, 1024.000000,1415.900000,2560.000000,16384.000000,18.900000
2,21653.451000, 1024.000000,1551.800000,2688.000000,16384.000000,18.900000
3,20982.816000, 1024.000000,1688.300000,2824.000000,16384.000000,19.000000
4,21700.176000, 1024.000000,1553.800000,2648.000000,16384.000000,18.900000
5,21647.351000, 1024.000000,1524.600000,2964.000000,16384.000000,19.000000
6,21150.667000, 1024.000000,1609.800000,2880.000000,16384.000000,19.200000
7,20913.679000, 1024.000000,1695.000000,2848.000000,16384.000000,18.500000
8,20637.505000, 1024.000000,1555.500000,2876.000000,16384.000000,18.100000
9,20033.394000, 1024.000000,1480.900000,2560.000000,16384.000000,18.800000
10,22033.288000, 1024.000000,1563.300000,2816.000000,16384.000000,18.700000
11,21940.632000, 1024.000000,1535.400000,2640.000000,16384.000000,19.000000
12,22034.700000, 1024.000000,1552.300000,2560.000000,16384.000000,19.200000
13,22133.448000, 1024.000000,1536.600000,2660.000000,16384.000000,18.900000
14,22315.925000, 1024.000000,1351.400000,2560.000000,16384.000000,19.300000
15,22482.772000, 1024.000000,1535.500000,2588.000000,16384.000000,18.100000
16,22702.805000, 1024.000000,1531.800000,2632.000000,16384.000000,18.100000
17,23015.813000, 1024.000000,1442.200000,2560.000000,16384.000000,18.900000
18,23253.580000, 1024.000000,1569.300000,2708.000000,16384.000000,19.000000
19,23195.513000, 1024.000000,1556.300000,2580.000000,16384.000000,19.500000
20,23986.952000, 1024.000000,1490.200000,2564.000000,16384.000000,18.600000
21,21746.721000, 1024.000000,1404.900000,2560.000000,16384.000000,19.200000
22,21825.386000, 1024.000000,1330.700000,2560.000000,16384.000000,19.000000
23,21961.548000, 1024.000000,1470.500000,2592.000000,16384.000000,18.700000
24,22108.310000, 1024.000000,1366.500000,2560.000000,16384.000000,18.700000
25,22155.039000, 1024.000000,1585.600000,2796.000000,16384.000000,19.100000
26,22106.265000, 1024.000000,1637.400000,2728.000000,16384.000000,19.400000
27,22444.695000, 1024.000000,1546.600000,2668.000000,16384.000000,19.100000
28,22457.451000, 1024.000000,1635.400000,3156.000000,16384.000000,19.200000
29,22364.145000, 1024.000000,1632.400000,3020.000000,16384.000000,18.100000
30,22109.771000, 1024.000000,1535.900000,2936.000000,16384.000000,18.600000
31,23620.516000, 1024.000000,1324.000000,2560.000000,16384.000000,18.600000
32,24435.871000, 1024.000000,1544.300000,2616.000000,16384.000000,19.000000
33,23679.063000, 1024.000000,1314.700000,2564.000000,16384.000000,18.000000
34,24359.717000, 1024.000000,1494.500000,2592.000000,16384.000000,18.500000
35,24376.198000, 1024.000000,1450.400000,2560.000000,16384.000000,19.200000
36,23895.970000, 1024.000000,1530.500000,2584.000000,16384.000000,18.700000
37,23297.533000, 1024.000000,1548.400000,2632.000000,16384.000000,18.100000
38,22524.883000, 1024.000000,1532.100000,2592.000000,16384.000000,19.100000
39,22493.925000, 1024.000000,1366.500000,2560.000000,16384.000000,18.200000
40,24613.176000, 1024.000000,1526.900000,2776.000000,16384.000000,18.100000
41,21993.927000, 1024.000000,1548.700000,2560.000000,16384.000000,18.800000
42,22038.916000, 1024.000000,1536.900000,2580.000000,16384.000000,19.200000
43,23060.423000, 1024.000000,1531.000000,3072.000000,16384.000000,18.700000
44,23275.456000, 1024.000000,1609.400000,2804.000000,16384.000000,19.000000
45,23352.208000, 1024.000000,1548.800000,2652.000000,16384.000000,19.100000
46,23520.240000, 1024.000000,1661.200000,2744.000000,16384.000000,19.000000
47,24356.801000, 1024.000000,1575.800000,2648.000000,16384.000000,19.000000
48,24276.463000, 1024.000000,1355.800000,2360.000000,16384.000000,19.300000
49,24338.232000, 1024.000000,1453.300000,2564.000000,16384.000000,18.900000
50,24484.398000, 1024.000000,1383.900000,2560.000000,16384.000000,18.200000
