Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,14990.147000, 1024.000000,1301.100000,2560.000000,16384.000000,19.000000
2,15592.966000, 1024.000000,1840.300000,3084.000000,16384.000000,18.600000
3,14850.441000, 1024.000000,1565.400000,2676.000000,16384.000000,18.800000
4,15616.683000, 1024.000000,1469.100000,2660.000000,16384.000000,19.500000
5,15607.582000, 1024.000000,1451.100000,2564.000000,16384.000000,19.200000
6,15192.076000, 1024.000000,1478.800000,2560.000000,16384.000000,18.200000
7,14931.463000, 1024.000000,1538.200000,2680.000000,16384.000000,19.200000
8,14559.487000, 1024.000000,1419.500000,2584.000000,16384.000000,19.000000
9,14408.191000, 1024.000000,1326.800000,2560.000000,16384.000000,19.200000
10,16037.552000, 1024.000000,1458.800000,2640.000000,16384.000000,19.000000
11,14104.883000, 1024.000000,1510.800000,2640.000000,16384.000000,19.000000
12,14816.921000, 1024.000000,1335.400000,2560.000000,16384.000000,19.100000
13,14064.853000, 1024.000000,1747.900000,2924.000000,16384.000000,19.300000
14,14886.445000, 1024.000000,1504.800000,2608.000000,16384.000000,18.800000
15,14795.752000, 1024.000000,1422.900000,2648.000000,16384.000000,19.300000
16,14371.094000, 1024.000000,1492.300000,2624.000000,16384.000000,19.300000
17,14125.113000, 1024.000000,1538.400000,2696.000000,16384.000000,19.000000
18,13623.330000, 1024.000000,1475.200000,2972.000000,16384.000000,19.100000
19,13414.325000, 1024.000000,1446.300000,2652.000000,16384.000000,19.100000
20,15249.234000, 1024.000000,1573.800000,2684.000000,16384.000000,19.200000
21,13582.497000, 1024.000000,1471.400000,2560.000000,16384.000000,19.300000
22,13736.756000, 1024.000000,1543.000000,2760.000000,16384.000000,19.300000
23,14149.660000, 1024.000000,1448.200000,2608.000000,16384.000000,18.800000
24,14208.620000, 1024.000000,1532.100000,2676.000000,16384.000000,19.000000
25,14179.512000, 1024.000000,1477.200000,2560.000000,16384.000000,19.000000
26,14388.920000, 1024.000000,1549.200000,2580.000000,16384.000000,19.200000
27,14881.561000, 1024.000000,1544.500000,2648.000000,16384.000000,19.300000
28,14885.330000, 1024.000000,1464.600000,2560.000000,16384.000000,19.000000
29,15318.093000, 1024.000000,1536.200000,2820.000000,16384.000000,18.700000
30,14932.870000, 1024.000000,1505.900000,2616.000000,16384.000000,19.100000
31,13681.076000, 1024.000000,1514.000000,2560.000000,16384.000000,18.400000
32,13797.280000, 1024.000000,1567.500000,2824.000000,16384.000000,18.200000
33,14331.802000, 1024.000000,1494.100000,2560.000000,16384.000000,18.900000
34,14239.631000, 1024.000000,1340.500000,2560.000000,16384.000000,18.100000
35,14280.878000, 1024.000000,1568.400000,2652.000000,16384.000000,19.000000
36,14575.170000, 1024.000000,1559.300000,2732.000000,16384.000000,18.300000
37,14929.380000, 1024.000000,1296.900000,2560.000000,16384.000000,18.300000
38,14801.852000, 1024.000000,1446.600000,2568.000000,16384.000000,18.700000
39,14938.312000, 1024.000000,1629.600000,2728.000000,16384.000000,18.700000
40,15340.635000, 1024.000000,1450.100000,2608.000000,16384.000000,19.500000
41,14179.877000, 1024.000000,1289.300000,2232.000000,16384.000000,18.800000
42,14811.846000, 1024.000000,1691.200000,2892.000000,16384.000000,19.200000
43,11948.056000, 1024.000000,1688.900000,2900.000000,16384.000000,19.400000
44,14107.395000, 1024.000000,1568.500000,2580.000000,16384.000000,18.500000
45,14802.934000, 1024.000000,1548.800000,2624.000000,16384.000000,19.100000
46,14115.266000, 1024.000000,1301.000000,2564.000000,16384.000000,19.300000
47,14048.421000, 1024.000000,1509.100000,2676.000000,16384.000000,19.200000
48,13851.438000, 1024.000000,1561.900000,2756.000000,16384.000000,18.600000
49,13687.432000, 1024.000000,1526.500000,2704.000000,16384.000000,18.200000
50,15051.396000, 1024.000000,1727.400000,2988.000000,16384.000000,18.600000
