Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,431.000000,16,0.000000,1.328835e-51,26,7,94,7,20,3,121,175,35,173,804,72,5,10,134,32
2,430.000000,16,0.000000,1.429983e-51,28,7,91,7,20,3,119,161,33,243,804,72,5,11,131,32
3,444.000000,16,0.000000,1.168603e-51,28,7,93,6,19,2,121,214,33,199,805,72,5,9,135,29
4,436.000000,16,0.000000,1.326067e-51,28,8,91,7,19,2,121,203,34,262,803,68,4,9,135,32
5,442.000000,16,0.000000,1.759485e-51,28,7,93,7,21,2,120,214,35,192,806,71,4,10,135,27
6,445.000000,16,0.000000,1.731429e-51,28,7,94,7,21,1,120,239,32,272,806,71,4,10,132,32
7,437.000000,16,0.000000,1.190363e-51,28,7,91,7,20,1,120,255,33,189,802,72,4,11,135,31
8,429.000000,16,0.000000,1.500869e-51,28,8,91,7,20,3,121,204,36,171,807,67,5,11,133,28
9,435.000000,16,0.000000,1.376274e-51,28,7,94,7,21,3,121,206,35,171,807,70,3,11,132,29
10,454.000000,16,0.000000,1.820561e-51,28,7,87,7,21,3,120,158,35,228,805,72,5,9,135,31
11,431.000000,16,0.000000,1.276539e-51,27,6,94,6,20,2,120,326,34,181,805,70,4,10,135,32
12,438.000000,16,0.000000,1.207665e-51,28,8,91,7,21,2,121,217,33,208,806,72,4,11,131,26
13,430.000000,16,0.000000,1.582697e-51,28,6,88,6,21,2,121,259,32,190,804,72,5,11,134,32
14,438.000000,16,0.000000,8.655987e-52,28,6,92,5,21,3,120,240,36,193,803,72,4,9,135,29
15,442.000000,16,0.000000,1.418552e-51,28,7,88,7,20,1,121,206,36,250,805,69,4,11,134,32
16,446.000000,16,0.000000,2.046213e-51,28,8,94,7,21,3,120,206,32,194,804,72,4,9,135,29
17,446.000000,16,0.000000,7.960876e-52,27,8,90,6,21,3,121,195,32,226,804,71,4,9,135,29
18,436.000000,16,0.000000,1.598124e-51,28,8,93,7,21,3,119,178,33,250,804,72,4,9,133,29
19,439.000000,16,0.000000,1.750954e-51,28,7,92,7,20,2,121,243,35,198,807,69,3,11,133,32
20,441.000000,16,0.000000,1.168100e-51,28,8,93,7,20,2,118,236,36,175,801,71,4,10,134,30
21,426.000000,16,0.000000,2.187840e-51,27,8,90,7,21,2,121,187,36,191,804,70,5,11,132,31
22,436.000000,16,0.000000,1.346380e-51,28,6,93,7,21,3,121,193,35,271,805,71,3,10,134,27
23,431.000000,16,0.000000,1.554052e-51,27,8,94,6,21,3,119,204,35,146,802,72,5,11,135,30
24,439.000000,16,0.000000,1.946226e-51,28,7,91,6,19,3,121,250,34,177,805,72,4,9,135,32
25,430.000000,16,0.000000,1.135420e-51,28,7,94,7,21,2,121,249,34,164,803,69,4,9,135,29
26,430.000000,16,0.000000,1.745961e-51,28,7,92,7,21,3,121,175,36,232,805,70,5,10,135,25
27,436.000000,16,0.000000,1.046139e-51,28,7,92,6,19,2,120,171,36,232,803,72,5,10,131,32
28,438.000000,16,0.000000,1.373058e-51,26,8,92,7,21,3,120,201,35,195,805,72,4,9,133,32
29,427.000000,16,0.000000,9.426572e-52,27,8,92,7,21,1,119,156,36,212,807,72,5,10,133,32
30,439.000000,16,0.000000,1.569592e-51,28,7,89,6,21,2,120,198,33,232,806,71,4,11,134,32
31,436.000000,16,0.000000,1.831097e-51,27,7,91,7,21,2,120,264,34,165,807,72,4,11,133,30
32,441.000000,16,0.000000,1.136785e-51,28,6,94,7,21,3,119,175,34,279,807,67,5,10,133,31
33,439.000000,16,0.000000,1.369393e-51,27,8,92,7,20,2,120,152,35,282,807,69,4,11,135,31
34,443.000000,16,0.000000,1.044826e-51,27,7,88,7,19,3,121,194,33,263,805,72,4,9,133,32
35,440.000000,16,0.000000,1.118251e-51,28,6,90,7,21,3,118,221,33,211,806,72,5,11,134,27
36,443.000000,16,0.000000,1.612431e-51,28,7,93,7,21,1,121,181,35,264,806,69,4,11,132,32
37,436.000000,16,0.000000,1.448552e-51,28,7,93,7,17,3,121,270,36,167,805,72,4,10,135,29
38,441.000000,16,0.000000,1.590111e-51,27,8,93,7,21,2,121,185,32,283,807,72,3,11,132,32
39,433.000000,16,0.000000,1.410313e-51,28,8,89,7,19,2,121,219,33,212,807,72,5,10,135,26
40,433.000000,16,0.000000,1.412288e-51,28,7,92,6,20,3,120,186,34,230,804,69,5,9,134,32
41,426.000000,16,0.000000,1.016454e-51,28,8,93,7,19,1,121,275,31,220,804,72,4,10,134,30
42,437.000000,16,0.000000,1.699503e-51,27,8,93,7,19,2,120,183,32,264,807,71,5,11,135,29
43,431.000000,16,0.000000,4.105057e-51,28,7,94,7,21,2,121,221,35,208,807,72,3,11,133,32
44,438.000000,16,0.000000,9.202669e-52,28,7,92,6,20,3,119,187,34,242,800,70,5,9,135,30
45,434.000000,16,0.000000,1.067489e-51,28,8,91,7,20,2,121,171,34,236,803,71,5,10,132,27
46,455.000000,16,0.000000,9.105385e-52,27,8,86,7,21,2,119,189,35,227,800,71,5,11,133,31
47,447.000000,16,0.000000,1.316819e-51,27,7,89,6,21,3,120,211,33,194,805,72,5,10,133,31
48,444.000000,16,0.000000,1.632307e-51,28,8,89,7,19,2,121,274,34,174,804,72,3,11,135,31
49,434.000000,16,0.000000,1.796349e-51,27,7,93,7,21,3,121,236,35,197,802,70,4,8,135,31
50,442.000000,16,0.000000,1.711319e-51,28,8,94,6,21,3,121,187,35,256,805,68,4,9,135,28
