Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,14973.003000,3,0.001800,7.673299e-51,28,6,94,7,21,3,121,181,36,176,807,72,5,11,135,32
2,14686.134000,3,0.005200,1.255437e-50,28,7,94,7,21,3,121,183,36,180,807,72,5,11,135,32
3,14961.496000,3,0.001500,8.184853e-51,28,6,94,7,21,3,121,185,36,176,807,72,5,11,135,32
4,14683.769000,3,0.001300,6.838473e-51,28,6,94,7,21,3,121,176,36,174,807,72,5,11,135,32
5,14630.531000,3,0.004600,9.207959e-51,28,6,94,7,21,3,121,185,36,185,807,72,5,11,135,32
6,14810.287000,3,0.001300,6.213241e-51,28,6,94,7,21,3,121,174,36,170,807,72,5,11,135,32
7,15015.092000,3,0.003500,9.776352e-51,28,6,94,7,21,3,121,185,36,190,807,72,5,11,135,32
8,14801.764000,3,0.002300,7.755006e-51,28,6,94,7,21,3,121,180,36,178,807,72,5,11,135,32
9,14834.769000,3,0.004100,9.996604e-51,28,6,94,7,21,3,121,188,36,188,807,72,5,11,135,32
10,14508.280000,3,0.002700,9.300323e-51,28,6,94,7,21,3,121,189,36,181,807,72,5,11,135,32
11,14270.559000,3,0.001900,1.166981e-50,28,7,94,7,21,3,121,181,36,177,807,72,5,11,135,32
12,14532.278000,3,0.001500,7.033858e-51,28,6,94,7,21,3,121,176,36,176,807,72,5,11,135,32
13,14683.560000,3,0.002200,6.799396e-51,28,6,94,7,21,3,121,179,36,170,807,72,5,11,135,32
14,14775.538000,3,0.002600,8.774560e-51,28,6,94,7,21,3,121,186,36,180,807,72,5,11,135,32
15,14592.580000,3,0.000800,5.396177e-51,28,6,94,7,21,3,121,170,36,166,807,72,5,11,135,32
16,14262.483000,3,0.002900,8.184853e-51,28,6,94,7,21,3,121,185,36,176,807,72,5,11,135,32
17,14140.175000,3,0.002100,8.440629e-51,28,6,94,7,21,3,121,187,36,176,807,72,5,11,135,32
18,13871.248000,3,0.001900,8.298531e-51,28,6,94,7,21,3,121,185,36,177,807,72,5,11,135,32
19,13636.708000,3,0.002400,6.902417e-51,28,6,94,7,21,3,121,179,36,171,807,72,5,11,135,32
20,13026.239000,3,0.001600,6.447703e-51,28,6,94,7,21,3,121,176,36,170,807,72,5,11,135,32
21,14567.839000,3,0.002600,1.139805e-50,28,7,94,7,21,3,121,183,36,173,807,72,5,11,135,32
22,14659.159000,3,0.002400,9.175987e-51,28,6,94,7,21,3,121,184,36,186,807,72,5,11,135,32
23,14747.895000,3,0.004300,1.431283e-50,28,7,94,7,21,3,121,189,36,183,807,72,5,11,135,32
24,14749.852000,3,0.001200,7.247005e-51,28,6,94,7,21,3,121,181,36,172,807,72,5,11,135,32
25,14564.883000,3,0.001700,6.810053e-51,28,6,94,7,21,3,121,175,36,175,807,72,5,11,135,32
26,14747.893000,3,0.000700,6.330472e-51,28,6,94,7,21,3,121,175,36,170,807,72,5,11,135,32
27,14638.970000,3,0.003600,1.046730e-50,28,6,94,7,21,3,121,192,36,187,807,72,5,11,135,32
28,14208.400000,3,0.001600,6.287843e-51,28,6,94,7,21,3,121,180,36,164,807,72,5,11,135,32
29,14226.100000,3,0.003200,8.952183e-51,28,6,94,7,21,3,121,184,36,184,807,72,5,11,135,32
30,14601.530000,3,0.001700,6.266528e-51,28,6,94,7,21,3,121,177,36,167,807,72,5,11,135,32
31,14149.999000,3,0.001800,7.609355e-51,28,6,94,7,21,3,121,184,36,172,807,72,5,11,135,32
32,14210.933000,3,0.003000,8.392671e-51,28,6,94,7,21,3,121,184,36,179,807,72,5,11,135,32
33,14294.663000,3,0.002400,7.708824e-51,28,6,94,7,21,3,121,183,36,174,807,72,5,11,135,32
34,14616.483000,3,0.001600,6.067590e-51,28,6,94,7,21,3,121,177,36,165,807,72,5,11,135,32
35,14664.248000,3,0.002400,8.278993e-51,28,6,94,7,21,3,121,180,36,183,807,72,5,11,135,32
36,14680.653000,3,0.001500,7.335816e-51,28,6,94,7,21,3,121,180,36,174,807,72,5,11,135,32
37,14791.804000,3,0.001200,7.005438e-51,28,6,94,7,21,3,121,179,36,172,807,72,5,11,135,32
38,14578.751000,3,0.002000,6.277185e-51,28,6,94,7,21,3,121,178,36,166,807,72,5,11,135,32
39,14509.170000,3,0.002300,7.440614e-51,28,6,94,7,21,3,121,180,36,175,807,72,5,11,135,32
40,14393.596000,3,0.000700,7.231019e-51,28,6,94,7,21,3,121,180,36,173,807,72,5,11,135,32
41,13731.160000,3,0.002000,6.962809e-51,28,6,94,7,21,3,121,177,36,174,807,72,5,11,135,32
42,13941.247000,3,0.002200,7.973482e-51,28,6,94,7,21,3,121,188,36,171,807,72,5,11,135,32
43,14265.296000,3,0.003300,9.094281e-51,28,6,94,7,21,3,121,185,36,184,807,72,5,11,135,32
44,14035.512000,3,0.005000,1.415564e-50,28,7,94,7,21,3,121,190,36,181,807,72,5,11,135,32
45,14092.936000,3,0.001600,9.378477e-51,28,7,94,7,21,3,121,176,36,168,807,72,5,11,135,32
46,13834.736000,3,0.001300,7.829607e-51,28,6,94,7,21,3,121,179,36,180,807,72,5,11,135,32
47,13348.140000,3,0.001500,7.326935e-51,28,6,94,7,21,3,121,176,36,179,807,72,5,11,135,32
48,13381.806000,3,0.001700,7.021424e-51,28,6,94,7,21,3,121,180,36,171,807,72,5,11,135,32
49,13256.867000,3,0.003900,7.818950e-51,28,6,94,7,21,3,121,183,36,175,807,72,5,11,135,32
50,12848.131000,3,0.002900,9.026784e-51,28,6,94,7,21,3,121,187,36,181,807,72,5,11,135,32
