Run,countDM,numSol,ratioDM
1,4,40000,0.00010000000000000000
2,11,40000,0.00027500000000000002
3,0,40000,0.00000000000000000000
4,0,40000,0.00000000000000000000
5,13,40000,0.00032499999999999999
6,37,40000,0.00092500000000000004
7,4,40000,0.00010000000000000000
8,2,40000,0.00005000000000000000
9,25,40000,0.00062500000000000001
10,4,40000,0.00010000000000000000
11,35,40000,0.00087500000000000002
12,0,40000,0.00000000000000000000
13,0,40000,0.00000000000000000000
14,0,40000,0.00000000000000000000
15,2,40000,0.00005000000000000000
16,13,40000,0.00032499999999999999
17,345,40000,0.00862500000000000072
18,0,40000,0.00000000000000000000
19,0,40000,0.00000000000000000000
20,3,40000,0.00007499999999999999
21,3,40000,0.00007499999999999999
22,0,40000,0.00000000000000000000
23,1,40000,0.00002500000000000000
24,2,40000,0.00005000000000000000
25,19,40000,0.00047500000000000000
26,15,40000,0.00037500000000000001
27,2,40000,0.00005000000000000000
28,1,40000,0.00002500000000000000
29,23,40000,0.00057499999999999999
30,4,40000,0.00010000000000000000
31,0,40000,0.00000000000000000000
32,21,40000,0.00052499999999999997
33,0,40000,0.00000000000000000000
34,0,40000,0.00000000000000000000
35,0,40000,0.00000000000000000000
36,0,40000,0.00000000000000000000
37,0,40000,0.00000000000000000000
38,0,40000,0.00000000000000000000
39,1,40000,0.00002500000000000000
40,0,40000,0.00000000000000000000
41,0,40000,0.00000000000000000000
42,0,40000,0.00000000000000000000
43,9,40000,0.00022499999999999999
44,191,40000,0.00477499999999999973
45,4,40000,0.00010000000000000000
46,3,40000,0.00007499999999999999
47,0,40000,0.00000000000000000000
48,0,40000,0.00000000000000000000
49,0,40000,0.00000000000000000000
50,0,40000,0.00000000000000000000
