Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,21625.525000, 1024.000000,1359.100000,2576.000000,16384.000000,18.000000
2,22295.864000, 1024.000000,1613.500000,2848.000000,16384.000000,19.200000
3,21513.896000, 1024.000000,1478.000000,2624.000000,16384.000000,19.100000
4,22415.043000, 1024.000000,1591.600000,3108.000000,16384.000000,18.000000
5,22311.270000, 1024.000000,1522.300000,2648.000000,16384.000000,18.800000
6,21771.696000, 1024.000000,1559.600000,2640.000000,16384.000000,18.800000
7,21495.954000, 1024.000000,1510.500000,2608.000000,16384.000000,19.100000
8,20784.347000, 1024.000000,1528.300000,2784.000000,16384.000000,18.500000
9,20639.121000, 1024.000000,1557.800000,2680.000000,16384.000000,18.000000
10,22664.563000, 1024.000000,1548.200000,3072.000000,16384.000000,18.000000
11,22861.403000, 1024.000000,1493.300000,2560.000000,16384.000000,19.000000
12,23013.160000, 1024.000000,1422.500000,2632.000000,16384.000000,19.200000
13,23196.217000, 1024.000000,1411.400000,2560.000000,16384.000000,19.400000
14,23518.772000, 1024.000000,1638.500000,2840.000000,16384.000000,19.200000
15,23474.939000, 1024.000000,1511.400000,2560.000000,16384.000000,19.100000
16,23816.405000, 1024.000000,1596.100000,2696.000000,16384.000000,19.000000
17,24297.540000, 1024.000000,1567.000000,2648.000000,16384.000000,19.100000
18,24487.115000, 1024.000000,1551.400000,2560.000000,16384.000000,19.000000
19,24519.703000, 1024.000000,1402.900000,2660.000000,16384.000000,18.400000
20,25206.809000, 1024.000000,1492.800000,2608.000000,16384.000000,18.100000
21,22683.528000, 1024.000000,1487.900000,2560.000000,16384.000000,18.200000
22,22895.043000, 1024.000000,1550.500000,2560.000000,16384.000000,18.800000
23,23117.229000, 1024.000000,1289.400000,2560.000000,16384.000000,18.600000
24,23345.212000, 1024.000000,1481.400000,2580.000000,16384.000000,18.000000
25,23388.160000, 1024.000000,1602.300000,3072.000000,16384.000000,19.200000
26,23467.491000, 1024.000000,1392.800000,2744.000000,16384.000000,19.200000
27,23583.798000, 1024.000000,1530.800000,2968.000000,16384.000000,18.100000
28,23575.273000, 1024.000000,1607.600000,2688.000000,16384.000000,19.100000
29,23583.008000, 1024.000000,1478.100000,3152.000000,16384.000000,18.100000
30,23314.539000, 1024.000000,1619.800000,2680.000000,16384.000000,19.400000
31,21363.306000, 1024.000000,1307.400000,2264.000000,16384.000000,19.000000
32,22377.003000, 1024.000000,1561.200000,2616.000000,16384.000000,19.300000
33,21310.800000, 1024.000000,1559.000000,2700.000000,16384.000000,18.600000
34,22457.682000, 1024.000000,1543.400000,2824.000000,16384.000000,18.200000
35,22166.289000, 1024.000000,1502.000000,2676.000000,16384.000000,18.000000
36,21481.456000, 1024.000000,1506.000000,2792.000000,16384.000000,19.100000
37,21332.647000, 1024.000000,1555.800000,2724.000000,16384.000000,19.100000
38,20696.778000, 1024.000000,1547.100000,2744.000000,16384.000000,18.100000
39,20539.816000, 1024.000000,1562.800000,2560.000000,16384.000000,19.100000
40,23064.421000, 1024.000000,1613.400000,2728.000000,16384.000000,18.700000
41,20244.052000, 1024.000000,1569.400000,2688.000000,16384.000000,19.100000
42,20456.499000, 1024.000000,1688.700000,2912.000000,16384.000000,19.000000
43,21092.763000, 1024.000000,1517.100000,2604.000000,16384.000000,19.300000
44,21076.715000, 1024.000000,1570.600000,2748.000000,16384.000000,19.000000
45,21053.627000, 1024.000000,1413.100000,2560.000000,16384.000000,18.100000
46,21220.679000, 1024.000000,1585.500000,2756.000000,16384.000000,18.000000
47,22252.936000, 1024.000000,1534.900000,2804.000000,16384.000000,19.200000
48,22233.663000, 1024.000000,1577.400000,2632.000000,16384.000000,18.600000
49,22358.878000, 1024.000000,1547.600000,2624.000000,16384.000000,19.200000
50,22933.845000, 1024.000000,1653.200000,2792.000000,16384.000000,18.000000
