Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxHeap(MB),MaxNonHeap(MB)
1,15567.726000, 1024.000000,1272.800000,2228.000000,16384.000000,18.500000
2,16131.333000, 1024.000000,1542.900000,2560.000000,16384.000000,19.100000
3,15496.688000, 1024.000000,1428.600000,2580.000000,16384.000000,19.300000
4,16119.054000, 1024.000000,1331.800000,2560.000000,16384.000000,19.200000
5,16035.225000, 1024.000000,1537.800000,2604.000000,16384.000000,18.000000
6,15652.279000, 1024.000000,1520.300000,2652.000000,16384.000000,19.100000
7,15426.763000, 1024.000000,1530.900000,2564.000000,16384.000000,18.700000
8,14975.978000, 1024.000000,1496.500000,2612.000000,16384.000000,18.500000
9,14756.546000, 1024.000000,1283.600000,2560.000000,16384.000000,19.100000
10,16420.916000, 1024.000000,1329.600000,2560.000000,16384.000000,18.800000
11,14027.411000, 1024.000000,1512.500000,2560.000000,16384.000000,18.300000
12,14124.868000, 1024.000000,1477.700000,2696.000000,16384.000000,19.200000
13,14597.444000, 1024.000000,1531.100000,2604.000000,16384.000000,19.100000
14,14986.371000, 1024.000000,1594.200000,2648.000000,16384.000000,19.100000
15,14841.006000, 1024.000000,1507.500000,2560.000000,16384.000000,19.100000
16,14716.165000, 1024.000000,1289.100000,2560.000000,16384.000000,19.100000
17,15465.318000, 1024.000000,1374.500000,2560.000000,16384.000000,19.100000
18,15318.841000, 1024.000000,1560.100000,2676.000000,16384.000000,19.300000
19,15316.205000, 1024.000000,1330.300000,2576.000000,16384.000000,19.200000
20,15940.364000, 1024.000000,1517.100000,2560.000000,16384.000000,19.000000
21,14192.082000, 1024.000000,1291.200000,2560.000000,16384.000000,19.100000
22,14232.119000, 1024.000000,1497.400000,2632.000000,16384.000000,18.600000
23,14693.940000, 1024.000000,1425.700000,2640.000000,16384.000000,19.300000
24,15014.304000, 1024.000000,1464.000000,2560.000000,16384.000000,19.000000
25,14749.205000, 1024.000000,1415.500000,2560.000000,16384.000000,18.300000
26,14786.431000, 1024.000000,1521.000000,2560.000000,16384.000000,19.000000
27,15412.112000, 1024.000000,1477.100000,2560.000000,16384.000000,19.100000
28,15328.876000, 1024.000000,1513.600000,2560.000000,16384.000000,19.200000
29,15580.902000, 1024.000000,1340.200000,2560.000000,16384.000000,18.600000
30,16091.347000, 1024.000000,1489.300000,2708.000000,16384.000000,19.100000
31,14536.685000, 1024.000000,1301.800000,2264.000000,16384.000000,19.100000
32,15279.320000, 1024.000000,1310.100000,2560.000000,16384.000000,18.900000
33,14586.207000, 1024.000000,1443.500000,2576.000000,16384.000000,19.200000
34,15336.592000, 1024.000000,1446.300000,2588.000000,16384.000000,19.200000
35,15229.363000, 1024.000000,1419.900000,2560.000000,16384.000000,18.000000
36,14820.563000, 1024.000000,1507.400000,2744.000000,16384.000000,19.100000
37,14480.083000, 1024.000000,1537.000000,2636.000000,16384.000000,19.000000
38,13914.797000, 1024.000000,1555.200000,2676.000000,16384.000000,19.200000
39,13792.283000, 1024.000000,1532.400000,2612.000000,16384.000000,18.400000
40,15702.174000, 1024.000000,1517.100000,2756.000000,16384.000000,19.100000
41,13877.305000, 1024.000000,1307.000000,2560.000000,16384.000000,18.800000
42,13986.309000, 1024.000000,1510.500000,2676.000000,16384.000000,19.300000
43,14596.422000, 1024.000000,1510.300000,2560.000000,16384.000000,19.100000
44,14493.702000, 1024.000000,1545.100000,2724.000000,16384.000000,19.100000
45,14631.911000, 1024.000000,1290.500000,2560.000000,16384.000000,18.800000
46,14892.409000, 1024.000000,1410.600000,2588.000000,16384.000000,18.900000
47,15307.894000, 1024.000000,1497.800000,2660.000000,16384.000000,19.000000
48,15314.414000, 1024.000000,1480.800000,2560.000000,16384.000000,18.300000
49,15299.100000, 1024.000000,1465.800000,2560.000000,16384.000000,19.300000
50,15783.606000, 1024.000000,1553.800000,2612.000000,16384.000000,19.000000
