Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,14667.153000,3,0.005500,4.758511e-51,28,6,94,7,21,3,121,168,36,161,807,72,5,11,135,32
2,14355.268000,3,0.005500,5.048036e-51,28,6,94,7,21,3,121,170,36,162,807,72,5,11,135,32
3,14603.182000,3,0.003800,4.330441e-51,28,6,94,7,21,3,121,167,36,157,807,72,5,11,135,32
4,14406.683000,3,0.004800,4.774497e-51,28,6,94,7,21,3,121,169,36,160,807,72,5,11,135,32
5,14382.661000,3,0.004300,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
6,14463.620000,3,0.005600,5.344666e-51,28,6,94,7,21,3,121,172,36,163,807,72,5,11,135,32
7,14686.555000,3,0.005200,4.689239e-51,28,6,94,7,21,3,121,169,36,159,807,72,5,11,135,32
8,14469.618000,3,0.002700,2.078185e-51,28,5,94,7,21,3,121,166,36,156,807,72,5,11,135,32
9,14325.970000,3,0.005500,5.048036e-51,28,6,94,7,21,3,121,170,36,162,807,72,5,11,135,32
10,14143.442000,3,0.004200,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
11,13928.946000,3,0.004700,5.254079e-51,28,6,94,7,21,3,121,172,36,162,807,72,5,11,135,32
12,13842.643000,3,0.006500,6.154626e-51,28,6,94,7,21,3,121,176,36,167,807,72,5,11,135,32
13,14152.045000,3,0.004000,4.618189e-51,28,6,94,7,21,3,121,171,36,156,807,72,5,11,135,32
14,14168.859000,3,0.004000,4.675029e-51,28,6,94,7,21,3,121,168,36,160,807,72,5,11,135,32
15,14268.543000,3,0.003500,4.508063e-51,28,6,94,7,21,3,121,168,36,158,807,72,5,11,135,32
16,13721.033000,3,0.001800,1.484926e-51,28,5,94,7,21,3,121,159,36,148,807,72,5,11,135,32
17,13775.892000,3,0.003500,4.689239e-51,28,6,94,7,21,3,121,165,36,164,807,72,5,11,135,32
18,13486.648000,3,0.005500,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
19,13463.575000,3,0.006100,5.959241e-51,28,6,94,7,21,3,121,176,36,165,807,72,5,11,135,32
20,12293.060000,3,0.005800,5.861548e-51,28,6,94,7,21,3,121,176,36,164,807,72,5,11,135,32
21,14597.378000,3,0.004700,4.945015e-51,28,6,94,7,21,3,121,169,36,162,807,72,5,11,135,32
22,14702.639000,3,0.003700,4.316231e-51,28,6,94,7,21,3,121,166,36,158,807,72,5,11,135,32
23,14706.030000,3,0.003200,4.591546e-51,28,6,94,7,21,3,121,168,36,159,807,72,5,11,135,32
24,14778.924000,3,0.002900,2.176766e-51,28,5,94,7,21,3,121,164,36,161,807,72,5,11,135,32
25,14775.756000,3,0.002900,1.953849e-51,28,5,94,7,21,3,121,165,36,154,807,72,5,11,135,32
26,14699.092000,3,0.003400,4.689239e-51,28,6,94,7,21,3,121,169,36,159,807,72,5,11,135,32
27,14514.068000,3,0.004400,4.973435e-51,28,6,94,7,21,3,121,171,36,160,807,72,5,11,135,32
28,14590.155000,3,0.006700,5.648401e-51,28,6,94,7,21,3,121,174,36,164,807,72,5,11,135,32
29,14395.892000,3,0.004300,4.774497e-51,28,6,94,7,21,3,121,169,36,160,807,72,5,11,135,32
30,14763.872000,3,0.006400,5.797604e-51,28,6,94,7,21,3,121,172,36,168,807,72,5,11,135,32
31,14156.305000,3,0.005400,5.541827e-51,28,6,94,7,21,3,121,173,36,164,807,72,5,11,135,32
32,14221.633000,3,0.002800,2.078185e-51,28,5,94,7,21,3,121,166,36,156,807,72,5,11,135,32
33,14794.891000,3,0.004600,4.873966e-51,28,6,94,7,21,3,121,170,36,160,807,72,5,11,135,32
34,14714.008000,3,0.003300,4.973435e-51,28,6,94,7,21,3,121,171,36,160,807,72,5,11,135,32
35,14568.233000,3,0.003100,4.873966e-51,28,6,94,7,21,3,121,170,36,160,807,72,5,11,135,32
36,14606.814000,3,0.006200,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
37,14819.541000,3,0.004500,5.648401e-51,28,6,94,7,21,3,121,174,36,164,807,72,5,11,135,32
38,14785.300000,3,0.003100,4.424581e-51,28,6,94,7,21,3,121,168,36,157,807,72,5,11,135,32
39,14874.117000,3,0.003400,1.865038e-51,28,5,94,7,21,3,121,163,36,154,807,72,5,11,135,32
40,14613.875000,3,0.004100,5.048036e-51,28,6,94,7,21,3,121,170,36,162,807,72,5,11,135,32
41,13971.715000,3,0.003500,4.591546e-51,28,6,94,7,21,3,121,168,36,159,807,72,5,11,135,32
42,13896.532000,3,0.005200,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
43,14118.987000,3,0.002900,1.790437e-51,28,5,94,7,21,3,121,163,36,152,807,72,5,11,135,32
44,14262.833000,3,0.004300,5.072904e-51,28,6,94,7,21,3,121,172,36,160,807,72,5,11,135,32
45,14419.393000,3,0.001200,1.470716e-51,28,5,94,7,21,3,121,157,36,150,807,72,5,11,135,32
46,14105.753000,3,0.004800,4.248734e-51,28,6,94,7,21,3,121,167,36,156,807,72,5,11,135,32
47,13505.151000,3,0.004200,5.151058e-51,28,6,94,7,21,3,121,171,36,162,807,72,5,11,135,32
48,13248.188000,3,0.005700,5.525841e-51,28,6,94,7,21,3,121,172,36,165,807,72,5,11,135,32
