Run,ExecutionTime(s),nTerms,Probability,BestSize,T1,T3,T5,T6,T9,T10,T11,T12,T13,T15,T17,T19,T20,T21,T22,T23
1,517.000000,16,0.000000,2.307568e-51,28,8,93,7,20,1,121,190,34,264,802,72,5,10,134,29
2,526.000000,16,0.000000,2.591500e-51,28,7,93,6,20,3,121,217,36,186,802,69,5,10,133,32
3,528.000000,16,0.000000,1.781289e-51,27,8,90,6,21,3,121,162,35,298,806,70,4,10,135,29
4,526.000000,16,0.000000,2.042825e-51,27,8,90,7,21,2,119,212,35,283,798,72,4,10,135,31
5,526.000000,16,0.000000,2.203614e-51,28,7,90,7,18,3,121,241,36,194,807,72,4,10,132,30
6,527.000000,16,0.000000,2.261510e-51,28,6,94,6,21,3,121,180,36,211,799,71,5,11,132,32
7,528.000000,16,0.000000,2.330808e-51,27,6,92,7,21,3,120,231,36,279,803,71,3,11,133,31
8,522.000000,16,0.000000,2.918072e-51,28,7,91,7,21,3,121,206,33,210,807,72,4,10,133,29
9,521.000000,16,0.000000,2.104203e-51,28,8,94,7,20,1,121,266,33,199,807,71,4,11,131,31
10,521.000000,16,0.000000,3.706044e-51,27,6,92,7,21,1,121,214,36,278,807,71,5,10,135,32
11,530.000000,16,0.000000,1.563205e-51,28,8,92,6,21,3,120,220,35,246,803,70,3,10,135,28
12,525.000000,16,0.000000,2.412600e-51,28,7,85,6,19,3,121,216,36,232,802,71,5,11,135,32
13,535.000000,16,0.000000,3.866156e-51,27,6,92,6,20,3,121,324,36,175,806,72,4,10,135,32
14,541.000000,16,0.000000,4.063882e-51,28,8,94,6,21,3,120,188,36,227,806,72,4,10,133,29
15,533.000000,16,0.000000,2.659756e-51,27,8,90,7,21,3,120,206,35,173,802,71,5,11,135,29
16,533.000000,16,0.000000,1.931866e-51,28,7,88,7,20,3,121,228,34,230,803,69,5,9,132,32
17,542.000000,16,0.000000,2.247590e-51,28,6,92,6,20,3,121,197,35,251,802,72,4,10,133,32
18,536.000000,16,0.000000,3.043086e-51,28,5,90,6,21,3,121,177,35,278,807,72,5,11,135,31
19,539.000000,16,0.000000,9.634970e-51,28,7,93,7,21,3,121,203,36,227,803,69,5,11,135,31
20,537.000000,16,0.000000,2.824577e-51,28,7,90,7,21,2,121,199,36,258,806,68,4,10,134,32
21,524.000000,16,0.000000,3.061909e-51,27,6,89,7,21,3,121,219,36,227,806,71,5,11,131,30
22,529.000000,16,0.000000,3.668804e-51,28,8,87,7,21,3,121,180,36,188,807,69,5,11,134,31
23,518.000000,16,0.000000,2.611900e-51,28,8,93,6,20,3,120,231,35,246,806,72,5,10,129,28
24,523.000000,16,0.000000,1.822981e-51,28,6,94,7,21,2,120,291,34,172,803,69,5,9,135,31
25,536.000000,16,0.000000,2.468448e-51,27,7,90,7,21,2,121,292,31,208,807,72,4,11,135,31
26,526.000000,16,0.000000,4.480842e-51,28,8,87,7,20,3,121,193,34,279,804,72,4,11,134,30
27,525.000000,16,0.000000,2.034573e-51,27,6,94,7,20,3,121,227,36,197,805,70,4,11,132,30
28,531.000000,16,0.000000,4.752567e-51,27,8,91,7,21,2,120,228,35,223,805,71,4,11,134,32
29,532.000000,16,0.000000,4.141413e-51,28,7,93,7,21,1,120,312,34,158,807,71,5,11,135,32
30,543.000000,16,0.000000,2.029973e-51,28,7,90,6,20,3,121,271,34,169,807,68,5,11,133,31
31,524.000000,16,0.000000,1.916246e-51,28,7,93,6,21,2,120,248,35,209,801,72,4,11,135,27
32,521.000000,16,0.000000,2.665644e-51,28,7,91,6,21,2,120,227,35,203,806,72,5,11,133,28
33,532.000000,16,0.000000,3.140870e-51,28,7,94,7,21,2,121,243,36,203,804,72,5,9,134,26
34,518.000000,16,0.000000,1.997661e-51,27,7,92,6,21,3,121,162,36,259,804,71,5,11,130,32
35,518.000000,16,0.000000,2.066348e-51,28,7,91,7,21,3,121,195,33,256,805,67,5,10,133,32
36,532.000000,16,0.000000,1.248697e-51,27,6,92,6,21,2,121,207,34,201,802,71,5,11,135,30
37,530.000000,16,0.000000,4.380774e-51,28,7,93,6,21,3,121,185,31,311,802,72,5,11,135,32
38,538.000000,16,0.000000,2.329781e-51,27,8,94,7,20,2,121,168,36,297,804,70,5,11,133,27
39,535.000000,16,0.000000,2.197520e-51,28,8,93,6,19,2,120,250,34,267,804,70,5,10,132,29
40,534.000000,16,0.000000,2.077402e-51,28,8,92,7,20,3,119,220,36,222,801,67,4,11,135,32
41,535.000000,16,0.000000,4.623563e-51,28,7,92,7,20,2,121,265,34,192,803,70,5,11,135,30
42,522.000000,16,0.000000,3.299363e-51,28,8,92,7,21,2,119,201,35,186,804,72,5,11,132,31
43,531.000000,16,0.000000,2.132870e-51,27,6,94,6,20,3,121,231,36,189,807,71,4,10,134,31
44,522.000000,16,0.000000,3.143611e-51,28,7,91,7,19,3,121,245,35,219,804,71,3,11,134,32
45,530.000000,16,0.000000,2.112397e-51,28,6,93,7,19,3,121,198,36,264,800,68,5,11,133,31
46,532.000000,16,0.000000,1.694033e-51,28,8,94,7,19,3,121,216,33,164,804,71,5,10,133,28
47,526.000000,16,0.000000,1.865389e-51,28,7,92,6,21,2,121,229,31,285,807,72,3,11,135,32
48,614.000000,16,0.000000,1.851275e-51,28,7,94,6,19,2,120,242,35,247,804,72,3,10,135,32
49,532.000000,16,0.000000,1.753944e-51,28,8,94,7,21,2,121,225,32,258,803,70,4,11,132,27
50,521.000000,16,0.000000,2.050534e-51,28,7,92,7,21,3,118,272,36,128,804,71,5,11,135,31
