WorkType,Variable,SetIndex,Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxNonHeap(MB),Counts,Positive,Negative
1_nTasks,10,0,1,10203.711000, 1024.000000,858.200000,1480.000000,19.200000, 20200,20193,7
1_nTasks,10,0,2,10307.099000, 1024.000000,842.800000,1404.000000,19.500000, 20200,20192,8
1_nTasks,10,0,3,11131.751000, 1024.000000,758.300000,1336.000000,19.700000, 20200,20188,12
1_nTasks,10,0,4,11006.109000, 1024.000000,781.600000,1340.000000,19.400000, 20200,20196,4
1_nTasks,10,0,5,10971.276000, 1024.000000,621.900000,1024.000000,18.800000, 20200,20186,14
1_nTasks,10,0,6,9993.751000, 1024.000000,622.200000,1232.000000,19.300000, 20200,20187,13
1_nTasks,10,0,7,10059.935000, 1024.000000,853.800000,1536.000000,19.500000, 20200,20193,7
1_nTasks,10,0,8,10002.161000, 1024.000000,622.400000,1232.000000,19.100000, 20200,20197,3
1_nTasks,10,0,9,10051.422000, 1024.000000,765.500000,1296.000000,19.300000, 20200,20192,8
1_nTasks,10,0,10,10041.207000, 1024.000000,624.500000,1232.000000,19.400000, 20200,20193,7
1_nTasks,10,1,1,9985.314000, 1024.000000,709.900000,1232.000000,19.700000, 20200,19904,296
1_nTasks,10,1,2,10167.142000, 1024.000000,725.400000,1232.000000,19.400000, 20200,19792,408
1_nTasks,10,1,3,9669.890000, 1024.000000,839.300000,1480.000000,19.300000, 20200,19716,484
1_nTasks,10,1,4,9786.418000, 1024.000000,879.600000,1480.000000,19.500000, 20200,19374,826
1_nTasks,10,1,5,9779.983000, 1024.000000,737.300000,1232.000000,19.500000, 20200,19674,526
1_nTasks,10,1,6,9544.426000, 1024.000000,729.900000,1232.000000,19.300000, 20200,19667,533
1_nTasks,10,1,7,9570.066000, 1024.000000,656.900000,1232.000000,19.600000, 20200,19778,422
1_nTasks,10,1,8,9581.625000, 1024.000000,709.100000,1232.000000,19.700000, 20200,19826,374
1_nTasks,10,1,9,9591.832000, 1024.000000,738.100000,1232.000000,19.300000, 20200,19800,400
1_nTasks,10,1,10,9722.038000, 1024.000000,724.900000,1232.000000,19.400000, 20200,19780,420
1_nTasks,10,2,1,8586.281000, 1024.000000,617.300000,1024.000000,19.500000, 20200,15815,4385
1_nTasks,10,2,2,8321.831000, 1024.000000,617.000000,1024.000000,19.200000, 20200,15814,4386
1_nTasks,10,2,3,9337.678000, 1024.000000,670.900000,1232.000000,19.100000, 20200,15607,4593
1_nTasks,10,2,4,9363.196000, 1024.000000,706.900000,1232.000000,19.500000, 20200,16110,4090
1_nTasks,10,2,5,9194.296000, 1024.000000,730.800000,1232.000000,20.200000, 20200,15301,4899
1_nTasks,10,2,6,9558.052000, 1024.000000,617.300000,1024.000000,19.300000, 20200,15701,4499
1_nTasks,10,2,7,9556.020000, 1024.000000,617.500000,1024.000000,19.100000, 20200,16641,3559
1_nTasks,10,2,8,9506.867000, 1024.000000,617.700000,1024.000000,19.600000, 20200,16455,3745
1_nTasks,10,2,9,9524.941000, 1024.000000,707.300000,1232.000000,19.300000, 20200,15658,4542
1_nTasks,10,2,10,9668.852000, 1024.000000,617.600000,1024.000000,19.500000, 20200,16209,3991
1_nTasks,10,3,1,10251.783000, 1024.000000,847.700000,1500.000000,19.200000, 20200,20020,180
1_nTasks,10,3,2,10387.331000, 1024.000000,875.100000,1480.000000,19.600000, 20200,20070,130
1_nTasks,10,3,3,9895.795000, 1024.000000,868.000000,1552.000000,19.400000, 20200,19844,356
1_nTasks,10,3,4,9897.084000, 1024.000000,868.700000,1480.000000,19.100000, 20200,20123,77
1_nTasks,10,3,5,9847.247000, 1024.000000,622.400000,1232.000000,19.400000, 20200,19974,226
1_nTasks,10,3,6,10051.344000, 1024.000000,654.300000,1232.000000,19.500000, 20200,20082,118
1_nTasks,10,3,7,10161.343000, 1024.000000,658.500000,1232.000000,19.600000, 20200,20005,195
1_nTasks,10,3,8,10074.626000, 1024.000000,839.600000,1520.000000,19.300000, 20200,20047,153
1_nTasks,10,3,9,10163.752000, 1024.000000,634.300000,1232.000000,19.500000, 20200,19877,323
1_nTasks,10,3,10,10292.079000, 1024.000000,722.800000,1232.000000,19.500000, 20200,20133,67
1_nTasks,10,4,1,10210.159000, 1024.000000,720.500000,1232.000000,19.400000, 20200,15795,4405
1_nTasks,10,4,2,10290.760000, 1024.000000,741.500000,1348.000000,19.300000, 20200,16417,3783
1_nTasks,10,4,3,9756.100000, 1024.000000,720.000000,1232.000000,19.500000, 20200,16502,3698
1_nTasks,10,4,4,9800.499000, 1024.000000,724.400000,1232.000000,19.300000, 20200,16112,4088
1_nTasks,10,4,5,9788.779000, 1024.000000,579.500000,1024.000000,19.500000, 20200,16364,3836
1_nTasks,10,4,6,10046.494000, 1024.000000,591.900000,1024.000000,19.400000, 20200,16208,3992
1_nTasks,10,4,7,10037.990000, 1024.000000,608.300000,1024.000000,19.300000, 20200,16303,3897
1_nTasks,10,4,8,10149.381000, 1024.000000,725.000000,1232.000000,19.200000, 20200,16309,3891
1_nTasks,10,4,9,10169.036000, 1024.000000,728.200000,1232.000000,19.400000, 20200,15411,4789
1_nTasks,10,4,10,10128.540000, 1024.000000,587.100000,1024.000000,19.400000, 20200,16895,3305
1_nTasks,10,5,1,10322.027000, 1024.000000,637.400000,1232.000000,19.500000, 20200,19185,1015
1_nTasks,10,5,2,10326.528000, 1024.000000,733.400000,1232.000000,19.400000, 20200,19434,766
1_nTasks,10,5,3,10049.127000, 1024.000000,653.600000,1232.000000,19.300000, 20200,19483,717
1_nTasks,10,5,4,9264.371000, 1024.000000,891.200000,1480.000000,19.000000, 20200,19235,965
1_nTasks,10,5,5,9444.277000, 1024.000000,638.400000,1232.000000,19.400000, 20200,19354,846
1_nTasks,10,5,6,9542.619000, 1024.000000,661.400000,1232.000000,19.300000, 20200,19253,947
1_nTasks,10,5,7,9579.241000, 1024.000000,721.500000,1232.000000,19.400000, 20200,19097,1103
1_nTasks,10,5,8,9631.918000, 1024.000000,618.000000,1232.000000,19.200000, 20200,19625,575
1_nTasks,10,5,9,9676.100000, 1024.000000,563.900000,1024.000000,19.500000, 20200,18882,1318
1_nTasks,10,5,10,9840.139000, 1024.000000,617.800000,1024.000000,19.600000, 20200,19218,982
1_nTasks,10,6,1,10298.145000, 1024.000000,619.700000,1024.000000,18.800000, 20200,11109,9091
1_nTasks,10,6,2,10425.685000, 1024.000000,705.000000,1232.000000,19.400000, 20200,10975,9225
1_nTasks,10,6,3,9451.320000, 1024.000000,705.200000,1232.000000,19.400000, 20200,10940,9260
1_nTasks,10,6,4,9656.487000, 1024.000000,830.700000,1480.000000,19.200000, 20200,11226,8974
1_nTasks,10,6,5,9726.823000, 1024.000000,673.000000,1232.000000,19.200000, 20200,10961,9239
1_nTasks,10,6,6,9602.149000, 1024.000000,693.000000,1232.000000,19.200000, 20200,10852,9348
1_nTasks,10,6,7,9589.327000, 1024.000000,619.500000,1024.000000,19.400000, 20200,11027,9173
1_nTasks,10,6,8,9718.453000, 1024.000000,720.700000,1232.000000,19.300000, 20200,11004,9196
1_nTasks,10,6,9,9719.484000, 1024.000000,702.300000,1232.000000,19.300000, 20200,11217,8983
1_nTasks,10,6,10,9711.730000, 1024.000000,619.600000,1024.000000,19.300000, 20200,10967,9233
1_nTasks,10,7,1,9416.575000, 1024.000000,682.500000,1232.000000,19.600000, 20200,19846,354
1_nTasks,10,7,2,9492.057000, 1024.000000,676.500000,1232.000000,19.400000, 20200,19530,670
1_nTasks,10,7,3,9709.613000, 1024.000000,728.200000,1280.000000,19.100000, 20200,19725,475
1_nTasks,10,7,4,9644.209000, 1024.000000,604.900000,1232.000000,19.200000, 20200,19515,685
1_nTasks,10,7,5,9697.411000, 1024.000000,653.100000,1232.000000,19.500000, 20200,19659,541
1_nTasks,10,7,6,9240.475000, 1024.000000,873.900000,1480.000000,20.100000, 20200,19644,556
1_nTasks,10,7,7,9488.252000, 1024.000000,887.100000,1548.000000,19.500000, 20200,19555,645
1_nTasks,10,7,8,9430.702000, 1024.000000,619.400000,1232.000000,19.300000, 20200,19706,494
1_nTasks,10,7,9,9581.064000, 1024.000000,721.700000,1256.000000,19.500000, 20200,19542,658
