WorkType,Variable,SetIndex,Run,ExecutionTime(s),UsedHeap(MB),nTerms,nUpdates,Probability,BestSize,Tasks,Reduced,OriginMin,OriginMax
1_nTasks,10,0,1,11568.029000,637.900000,2,100,0.001000,0.00000390000000000000,T2;T5,7;212,3;135,7;227
1_nTasks,10,0,2,11770.502000,637.600000,2,100,0.003600,0.00000001000000000000,T2;T5,3;135,3;135,7;227
1_nTasks,10,0,3,13406.974000,633.400000,2,100,0.001800,0.00000370000000000000,T2;T5,7;208,3;135,7;227
1_nTasks,10,0,4,13323.528000,641.700000,2,100,0.002000,0.00000410000000000000,T2;T5,7;216,3;135,7;227
1_nTasks,10,0,5,12683.941000,637.500000,2,100,0.000300,0.00000320000000000000,T2;T5,7;198,3;135,7;227
1_nTasks,10,0,6,11638.419000,638.900000,2,100,0.002100,0.00000390000000000000,T2;T5,7;212,3;135,7;227
1_nTasks,10,0,7,11695.920000,597.300000,2,100,0.000800,0.00000001000000000000,T2;T5,3;135,3;135,7;227
1_nTasks,10,0,8,11634.042000,629.200000,2,100,0.000400,0.00000001000000000000,T2;T5,3;135,3;135,7;227
1_nTasks,10,0,9,11570.052000,621.600000,2,100,0.000300,0.00000001000000000000,T2;T5,3;135,3;135,7;227
1_nTasks,10,0,10,11693.019000,632.500000,2,100,0.000200,0.00000368000000000000,T2;T5,6;226,3;135,7;227
1_nTasks,10,1,1,12549.906000,633.300000,2,100,0.001200,0.00000187000000000000,T3;T4,52;42,36;32,62;54
1_nTasks,10,1,2,12924.572000,633.500000,2,100,0.001200,0.00000180000000000000,T3;T4,53;41,36;32,62;54
1_nTasks,10,1,3,10646.979000,637.900000,2,100,0.001600,0.00000136000000000000,T3;T4,52;39,36;32,62;54
1_nTasks,10,1,4,10679.450000,634.300000,2,100,0.000600,0.00000042000000000000,T3;T4,49;34,36;32,62;54
1_nTasks,10,1,5,10617.985000,618.200000,2,100,0.002400,0.00000171000000000000,T3;T4,54;40,36;32,62;54
1_nTasks,10,1,6,10936.110000,638.100000,2,100,0.001400,0.00000153000000000000,T3;T4,52;40,36;32,62;54
1_nTasks,10,1,7,10970.718000,634.500000,2,100,0.000500,0.00000114000000000000,T3;T4,54;37,36;32,62;54
1_nTasks,10,1,8,10966.896000,638.400000,2,100,0.000700,0.00000090000000000000,T3;T4,50;37,36;32,62;54
1_nTasks,10,1,9,10949.977000,621.300000,2,100,0.001100,0.00000189000000000000,T3;T4,62;38,36;32,62;54
